tra_type,nst07,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT18,MIO_TKM,CH	899 	1033 	1107 	900 	856 	998 	952 	927 	595 	575 	547 	567 	649 	687 	769 
HIRE,GT18,MIO_TKM,CY	16 	15 	23 	8 	17 	6 	8 	4 	3 	4 	6 	11 	5 	9 	10 
HIRE,GT18,MIO_TKM,CZ	5263 	4919 	3957 	1763 	2497 	2516 	1679 	2667 	2240 	3077 	2195 	2511 	2004 	2014 	1931 
HIRE,GT18,MIO_TKM,DE	42124 	40539 	37946 	39087 	37990 	35911 	35238 	33839 	30588 	28521 	26189 	26118 	20510 	: 	: 
HIRE,GT18,MIO_TKM,DK	2375 	2246 	2162 	2362 	2175 	2273 	2409 	2354 	2680 	2431 	2789 	2632 	2530 	3059 	4186 
HIRE,GT18,MIO_TKM,EE	309 	463 	329 	440 	495 	420 	926 	1012 	908 	952 	883 	813 	826 	589 	: u
HIRE,GT18,MIO_TKM,EL	1662 	868 	1604 	1228 	2116 	1770 	1321 	1051 	799 	580 	808 	764 	828 	1177 	806 
HIRE,GT18,MIO_TKM,ES	8062 	5976 	5747 	5915 	6663 	6338 	5413 	5140 	5181 	4815 	5283 	4604 	4879 	4480 	500 
HIRE,GT18,MIO_TKM,EU27_2020	220092 	212525 	196017 	194784 	181502 	174813 	155228 	151241 	150517 	142763 	129128 	127847 	122004 	95762 	114678 
HIRE,GT18,MIO_TKM,FI	3946 	3704 	3630 	2928 	3632 	3394 	3103 	2869 	2551 	2180 	2447 	2667 	3018 	3316 	2826 
HIRE,GT18,MIO_TKM,FR	36499 	33507 	30135 	32551 	30275 	28477 	25030 	28139 	33720 	34704 	31569 	35084 	33736 	32232 	48541 
HIRE,GT18,MIO_TKM,HR	1350 	1332 	741 	855 	755 	550 	554 	398 	220 	137 	74 	20 	: u	: u	: u
HIRE,GT18,MIO_TKM,HU	1632 	1421 	1590 	2337 	2002 	2108 	2824 	4356 	4068 	3542 	2988 	2720 	2743 	2480 	2131 
HIRE,GT18,MIO_TKM,IE	1416 	1753 	1598 	1632 	1535 	1577 	1467 	1191 	1276 	1138 	1508 	1477 	1341 	1362 	1919 
HIRE,GT18,MIO_TKM,IT	18114 	14901 	12725 	13405 	7969 	7878 	5727 	6583 	7496 	7983 	7729 	4805 	8085 	7971 	6995 
HIRE,GT18,MIO_TKM,LT	20607 	20358 	18191 	15598 	11550 	9298 	6107 	5140 	5660 	5205 	4559 	4179 	3730 	3176 	3117 
HIRE,GT18,MIO_TKM,LU	276 	283 	340 	277 	354 	189 	168 	477 	941 	758 	964 	1335 	1041 	899 	872 
HIRE,GT18,MIO_TKM,LV	1771 	1786 	1098 	1443 	1468 	1346 	1394 	981 	706 	646 	691 	635 	513 	490 	851 
HIRE,GT18,MIO_TKM,ME	: 	: u	: u	: u	2 	2 	7 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT18,MIO_TKM,MK	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT18,MIO_TKM,NL	9603 	9220 	9701 	9775 	9948 	9102 	7920 	8149 	9286 	9130 	7509 	7952 	8912 	9261 	10881 
HIRE,GT18,MIO_TKM,NO	2288 	1457 	1576 	1571 	1394 	1453 	1581 	2488 	2310 	2282 	2084 	2272 	2052 	1972 	2324 
HIRE,GT18,MIO_TKM,PL	21409 	23721 	24350 	24068 	17126 	17135 	14666 	12322 	10710 	8325 	5602 	2758 	2215 	4960 	5941 
HIRE,GT18,MIO_TKM,PT	3476 	3137 	2567 	3105 	3721 	4117 	3755 	3215 	3581 	4841 	4888 	5483 	4753 	997 	706 
HIRE,GT18,MIO_TKM,RO	17826 	16240 	14718 	18103 	18794 	17660 	13046 	9081 	7326 	5607 	3920 	3652 	3715 	2180 	4264 
HIRE,GT18,MIO_TKM,SE	9070 	9256 	7046 	7479 	8234 	8500 	8952 	8839 	7455 	6383 	6120 	7577 	6823 	5879 	7842 
HIRE,GT18,MIO_TKM,SI	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	196 	683 	499 
HIRE,GT18,MIO_TKM,SK	4809 	3949 	4840 	4024 	4443 	4222 	5056 	4858 	4543 	4575 	4859 	4708 	3853 	3621 	3972 
HIRE,GT18,MIO_TKM,UK	: 	: 	: 	21718 	14831 	12712 	13225 	12649 	11203 	11675 	11989 	8802 	: 	: 	: 
HIRE,GT18,THS_T,AT	11814 	11274 	13125 	9663 	9584 	8084 	7968 	8299 	7595 	7485 	7927 	8573 	8416 	9123 	10897 
HIRE,GT18,THS_T,BE	6215 	6865 	6901 	5581 	9337 	7310 	5342 	9588 	9764 	10780 	7594 	9206 	9705 	9033 	10411 
HIRE,GT18,THS_T,BG	6677 	11910 	10058 	6810 	7257 	11416 	8819 	7912 	6043 	4398 	2307 	1811 	2040 	886 	218 
HIRE,GT18,THS_T,CH	10045 	10924 	11323 	8465 	7857 	8411 	8735 	6559 	5678 	5232 	5465 	6173 	6468 	6171 	6190 
HIRE,GT18,THS_T,CY	295 	321 	312 	200 	279 	167 	124 	64 	76 	96 	115 	197 	67 	208 	191 
HIRE,GT18,THS_T,CZ	15303 	15833 	14236 	8745 	10441 	9853 	7718 	7615 	6295 	7031 	4866 	5150 	4888 	5289 	5692 
HIRE,GT18,THS_T,DE	233170 	225113 	212604 	220919 	206027 	192005 	178114 	174181 	153527 	137708 	118859 	116213 	88681 	: 	: 
HIRE,GT18,THS_T,DK	12960 	13017 	13754 	12936 	12447 	13160 	16498 	16484 	17104 	15857 	16348 	15061 	14430 	11848 	17508 
HIRE,GT18,THS_T,EE	1040 	1155 	944 	1304 	1266 	1321 	2120 	1913 	1790 	2241 	1857 	1704 	1454 	1012 	: u
HIRE,GT18,THS_T,EL	6208 	1935 	2659 	3320 	4869 	3281 	5337 	6905 	3378 	2100 	2232 	2965 	3831 	3787 	2123 
HIRE,GT18,THS_T,ES	22554 	17442 	14682 	17942 	17820 	15094 	13031 	12727 	11552 	9717 	10706 	11174 	9941 	9073 	1399 
HIRE,GT18,THS_T,EU27_2020	876332 	828360 	770847 	782076 	726825 	668674 	606839 	608258 	599863 	574488 	528504 	520453 	500855 	374197 	482853 
HIRE,GT18,THS_T,FI	20115 	19417 	20003 	18817 	19769 	20410 	18775 	18873 	15984 	14194 	14997 	17747 	20053 	19257 	23983 
HIRE,GT18,THS_T,FR	204192 	186872 	163286 	181497 	169939 	149445 	133500 	148992 	173677 	183409 	167597 	179575 	178250 	169001 	247691 
HIRE,GT18,THS_T,HR	3101 	2986 	1972 	1813 	1700 	1303 	1311 	887 	501 	375 	138 	49 	: u	: u	: u
HIRE,GT18,THS_T,HU	6477 	6452 	5383 	7715 	6989 	6380 	8516 	7963 	8151 	6598 	5283 	4878 	4439 	4023 	3906 
HIRE,GT18,THS_T,IE	11223 	10363 	10451 	10930 	10383 	9086 	9166 	7441 	8108 	7211 	8117 	8150 	7334 	6508 	8587 
HIRE,GT18,THS_T,IT	82419 	66956 	64529 	59959 	38825 	32152 	26174 	29411 	33626 	36892 	41255 	20713 	31914 	30467 	28601 
HIRE,GT18,THS_T,LT	29149 	29022 	24495 	20291 	15196 	11984 	8101 	6770 	6775 	6251 	5008 	4565 	4369 	3938 	3655 
HIRE,GT18,THS_T,LU	706 	1014 	1199 	890 	1222 	576 	448 	1574 	3169 	1960 	2365 	3563 	2726 	2313 	2460 
HIRE,GT18,THS_T,LV	4129 	5257 	4044 	4368 	4628 	4277 	4107 	2948 	3188 	1232 	1425 	1570 	581 	895 	961 
HIRE,GT18,THS_T,ME	: 	: u	: u	: u	16 	5 	8 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT18,THS_T,MK	: 	: 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT18,THS_T,NL	66392 	63779 	61501 	62000 	64401 	53129 	46207 	44087 	51278 	48889 	46697 	46546 	53594 	39873 	48328 
HIRE,GT18,THS_T,NO	11763 	7775 	6164 	6219 	5715 	6670 	6983 	11394 	12919 	11090 	10196 	9673 	11278 	9002 	10461 
HIRE,GT18,THS_T,PL	44923 	47488 	47420 	45207 	32112 	34554 	29048 	27410 	23327 	16861 	11549 	5624 	4156 	10572 	12064 
HIRE,GT18,THS_T,PT	6243 	5735 	5060 	6420 	6984 	7230 	7589 	6041 	6515 	10115 	12009 	11022 	10248 	2072 	1498 
HIRE,GT18,THS_T,RO	30987 	29252 	25229 	29173 	28796 	26227 	20416 	13727 	10739 	7647 	5654 	5738 	5381 	4060 	6675 
HIRE,GT18,THS_T,SE	41790 	40814 	36882 	37483 	38908 	42737 	39254 	38953 	30057 	27907 	26584 	32028 	27191 	24206 	38499 
HIRE,GT18,THS_T,SI	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	312 	1070 	566 
HIRE,GT18,THS_T,SK	8249 	8088 	10117 	8092 	7647 	7486 	9154 	7492 	7642 	7534 	7017 	6625 	6837 	5672 	6915 
HIRE,GT18,THS_T,UK	: 	: 	: 	155605 	103975 	85814 	89385 	90820 	77521 	77399 	83240 	54510 	: 	: 	: 
HIRE,GT19,MIO_TKM,AT	109 	80 	1035 	678 	647 	651 	676 	727 	687 	678 	778 	890 	929 	882 	1285 
HIRE,GT19,MIO_TKM,BE	1482 	937 	671 	735 	893 	1168 	736 	1043 	2198 	1919 	1901 	1776 	1910 	1465 	1856 
HIRE,GT19,MIO_TKM,BG	136 	137 	197 	60 	116 	248 	216 	171 	167 	45 	40 	123 	38 	239 	34 
HIRE,GT19,MIO_TKM,CH	64 	96 	116 	111 	90 	76 	63 	48 	153 	67 	90 	144 	108 	43 	45 
HIRE,GT19,MIO_TKM,CY	4 	3 	: u	: u	: u	4 	: u	: u	: u	3 	2 	2 	3 	: u	: u
HIRE,GT19,MIO_TKM,CZ	2793 	2506 	1601 	869 	423 	532 	2312 	1607 	1418 	948 	1035 	1226 	1270 	454 	680 
HIRE,GT19,MIO_TKM,DE	1401 	1328 	1244 	1311 	711 	629 	542 	688 	578 	969 	1289 	983 	4934 	27313 	30926 
HIRE,GT19,MIO_TKM,DK	296 	302 	345 	401 	496 	686 	868 	958 	1033 	1441 	1296 	487 	481 	445 	402 
HIRE,GT19,MIO_TKM,EE	18 	13 	30 	103 	149 	26 	236 	124 	130 	122 	109 	126 	179 	800 	1776 
HIRE,GT19,MIO_TKM,EL	170 	560 	132 	637 	490 	294 	155 	102 	78 	145 	399 	279 	389 	348 	647 
HIRE,GT19,MIO_TKM,ES	3046 	3215 	2651 	2846 	2554 	2687 	2482 	2258 	2359 	2037 	2509 	1734 	2085 	1914 	2231 
HIRE,GT19,MIO_TKM,EU27_2020	28602 	28191 	22842 	21922 	19639 	20032 	21252 	22533 	21562 	20560 	17608 	14922 	17587 	40408 	47243 
HIRE,GT19,MIO_TKM,FI	133 	122 	201 	164 	211 	159 	78 	192 	109 	132 	201 	83 	54 	170 	101 
HIRE,GT19,MIO_TKM,FR	1524 	1504 	1384 	1395 	1333 	1520 	1560 	1761 	1904 	2358 	1924 	2293 	1582 	1055 	: 
HIRE,GT19,MIO_TKM,HR	: u	23 	23 	4 	: u	: u	: u	13 	22 	27 	10 	24 	7 	: u	: u
HIRE,GT19,MIO_TKM,HU	130 	147 	350 	1091 	1366 	1450 	1377 	1831 	1482 	1218 	1192 	655 	170 	33 	68 
HIRE,GT19,MIO_TKM,IE	: 	: u	: u	5 	6 	: u	15 	4 	24 	5 	22 	31 	4 	1 	: 
HIRE,GT19,MIO_TKM,IT	5782 	5999 	5486 	4726 	4056 	3549 	2959 	3230 	2022 	1201 	1158 	916 	832 	2257 	4377 
HIRE,GT19,MIO_TKM,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 
HIRE,GT19,MIO_TKM,LU	5 	24 	65 	118 	88 	: 	: 	: 	: 	9 	36 	49 	: u	: u	318 
HIRE,GT19,MIO_TKM,LV	: 	: u	: u	73 	: u	: u	89 	117 	19 	41 	61 	171 	172 	43 	64 
HIRE,GT19,MIO_TKM,ME	: 	: u	: 	: 	4 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT19,MIO_TKM,MK	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT19,MIO_TKM,NL	941 	655 	838 	810 	1007 	1125 	1195 	1445 	1556 	2070 	948 	2060 	1784 	63 	50 
HIRE,GT19,MIO_TKM,NO	594 	667 	402 	542 	605 	331 	271 	1490 	1083 	1242 	726 	910 	1045 	589 	683 
HIRE,GT19,MIO_TKM,PL	4664 	4651 	1950 	1280 	80 	839 	1436 	2371 	2001 	1183 	472 	171 	78 	1557 	246 
HIRE,GT19,MIO_TKM,PT	2463 	2665 	1623 	1881 	2249 	2114 	2102 	1928 	1710 	846 	60 	123 	473 	769 	396 
HIRE,GT19,MIO_TKM,RO	394 	389 	515 	500 	766 	659 	533 	461 	696 	885 	626 	166 	190 	258 	548 
HIRE,GT19,MIO_TKM,SE	180 	73 	265 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	70 
HIRE,GT19,MIO_TKM,SI	2902 	2725 	2063 	2124 	1879 	1608 	1659 	1448 	1295 	1563 	1399 	553 	19 	284 	968 
HIRE,GT19,MIO_TKM,SK	: 	105 	142 	13 	108 	51 	20 	53 	72 	715 	141 	: 	: u	32 	199 
HIRE,GT19,MIO_TKM,UK	: 	: 	: 	3222 	3257 	2795 	4543 	3336 	2436 	4304 	877 	5828 	14895 	12923 	18551 
HIRE,GT19,THS_T,AT	1130 	792 	5605 	5044 	5129 	4323 	4300 	4405 	3959 	4062 	4214 	4571 	4469 	4556 	5446 
HIRE,GT19,THS_T,BE	8726 	5268 	3174 	3350 	5194 	6612 	4332 	5720 	12552 	10197 	10480 	10375 	10329 	7716 	8342 
HIRE,GT19,THS_T,BG	409 	431 	191 	243 	510 	555 	835 	550 	411 	369 	721 	237 	262 	372 	104 
HIRE,GT19,THS_T,CH	1051 	1784 	1077 	1238 	1198 	1254 	977 	922 	1035 	819 	566 	879 	1048 	583 	576 
HIRE,GT19,THS_T,CY	57 	48 	: u	: u	: u	54 	: u	: u	: u	47 	34 	62 	54 	: u	: u
HIRE,GT19,THS_T,CZ	9371 	7603 	5809 	5909 	4753 	4197 	10008 	7361 	5270 	2994 	3041 	4765 	3059 	1282 	2321 
HIRE,GT19,THS_T,DE	11621 	12216 	11822 	12066 	7354 	5963 	5099 	5889 	5739 	9150 	10539 	7956 	23987 	123388 	140203 
HIRE,GT19,THS_T,DK	2656 	2509 	2542 	2408 	3178 	3595 	3715 	3833 	4008 	6573 	5757 	4602 	5233 	2945 	1854 
HIRE,GT19,THS_T,EE	121 	32 	88 	223 	307 	243 	698 	398 	335 	718 	329 	444 	677 	1568 	4823 
HIRE,GT19,THS_T,EL	2973 	5385 	1472 	4626 	2737 	1979 	827 	1930 	382 	384 	1907 	1781 	2513 	1535 	4150 
HIRE,GT19,THS_T,ES	37768 	34131 	28961 	31012 	30961 	29813 	27704 	26866 	28788 	25383 	24358 	23288 	25574 	26669 	24648 
HIRE,GT19,THS_T,EU27_2020	162622 	137854 	131278 	134989 	118729 	113556 	113463 	118328 	117129 	115747 	103190 	103374 	110582 	200436 	219010 
HIRE,GT19,THS_T,FI	513 	945 	1177 	656 	2030 	1281 	692 	986 	1158 	1465 	2107 	802 	911 	1037 	1115 
HIRE,GT19,THS_T,FR	11630 	9291 	8195 	8827 	10463 	8627 	9346 	12598 	14216 	15704 	13082 	13957 	9707 	6349 	: 
HIRE,GT19,THS_T,HR	: u	30 	54 	17 	: u	: u	: u	36 	34 	54 	49 	62 	69 	: u	: u
HIRE,GT19,THS_T,HU	635 	810 	1266 	2055 	2556 	2602 	2821 	3412 	2637 	2172 	2132 	981 	274 	109 	251 
HIRE,GT19,THS_T,IE	: 	: u	: u	54 	71 	: u	151 	74 	134 	64 	120 	98 	45 	17 	: 
HIRE,GT19,THS_T,IT	37301 	29126 	32965 	32128 	20668 	20307 	16778 	14274 	12363 	6389 	6393 	5099 	4465 	11483 	19020 
HIRE,GT19,THS_T,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 
HIRE,GT19,THS_T,LU	22 	131 	241 	588 	420 	: 	: 	: 	: 	20 	90 	89 	: u	: u	980 
HIRE,GT19,THS_T,LV	: 	: u	: u	126 	: u	: u	400 	601 	235 	290 	182 	805 	294 	75 	134 
HIRE,GT19,THS_T,ME	: 	: u	: 	: 	7 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT19,THS_T,MK	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT19,THS_T,NL	11089 	6562 	11540 	11522 	10223 	10883 	12999 	15507 	11554 	18216 	12043 	20638 	16592 	589 	563 
HIRE,GT19,THS_T,NO	5236 	6047 	5443 	4357 	4910 	2970 	2289 	10458 	5593 	8736 	5740 	6247 	8129 	4706 	6807 
HIRE,GT19,THS_T,PL	12582 	9344 	4213 	2626 	165 	2010 	3655 	4357 	3995 	2455 	586 	195 	193 	8299 	872 
HIRE,GT19,THS_T,PT	6969 	6993 	5886 	5887 	7212 	6362 	5582 	6268 	5905 	2995 	275 	199 	664 	1212 	942 
HIRE,GT19,THS_T,RO	743 	984 	962 	908 	1587 	1137 	945 	996 	1388 	2665 	2506 	1630 	1136 	649 	628 
HIRE,GT19,THS_T,SE	1543 	271 	1398 	1076 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	854 
HIRE,GT19,THS_T,SI	4725 	4477 	3325 	3553 	2982 	2868 	2357 	2149 	1916 	2108 	1844 	739 	67 	426 	1534 
HIRE,GT19,THS_T,SK	: 	426 	318 	68 	191 	92 	173 	106 	139 	1274 	399 	: 	: u	84 	217 
HIRE,GT19,THS_T,UK	: 	: 	: 	23607 	19861 	17823 	29582 	27649 	20392 	28155 	5107 	37972 	99416 	96135 	126445 
HIRE,GT20,MIO_TKM,BE	1415 	489 	: u	16 	78 	: u	375 	183 	397 	496 	812 	726 	749 	568 	842 
HIRE,GT20,MIO_TKM,BG	182 	373 	359 	296 	251 	682 	504 	368 	429 	316 	576 	480 	708 	948 	397 
HIRE,GT20,MIO_TKM,CH	90 	53 	38 	60 	67 	18 	29 	21 	16 	69 	8 	12 	50 	24 	22 
HIRE,GT20,MIO_TKM,CY	2 	1 	2 	3 	: u	2 	1 	1 	1 	1 	2 	1 	2 	2 	3 
HIRE,GT20,MIO_TKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28 	51 	53 	269 	980 
HIRE,GT20,MIO_TKM,DE	: 	: 	: 	0 	: u	: 	: u	: u	: u	: u	: u	20 	6 	: 	: 
HIRE,GT20,MIO_TKM,EE	113 	265 	149 	160 	229 	162 	71 	113 	112 	156 	95 	151 	76 	158 	330 
HIRE,GT20,MIO_TKM,EL	884 	1551 	1082 	1028 	772 	373 	274 	468 	704 	368 	484 	326 	1985 	1309 	1200 
HIRE,GT20,MIO_TKM,EU27_2020	51476 	40809 	37303 	37077 	44756 	46179 	40834 	31523 	32545 	32513 	29845 	34210 	42191 	34977 	39317 
HIRE,GT20,MIO_TKM,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40 	60 	86 
HIRE,GT20,MIO_TKM,FR	44 	44 	84 	92 	101 	70 	80 	171 	111 	112 	112 	64 	74 	37 	: u
HIRE,GT20,MIO_TKM,HR	57 	61 	29 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u
HIRE,GT20,MIO_TKM,HU	14139 	12236 	10132 	10123 	10295 	10628 	7328 	96 	293 	287 	229 	335 	632 	823 	870 
HIRE,GT20,MIO_TKM,IE	: u	10 	: 	: 	: 	: 	: 	: u	: 	: 	5 	: u	4 	12 	22 
HIRE,GT20,MIO_TKM,IT	5032 	5798 	5585 	4403 	9678 	12263 	12887 	14351 	12498 	14783 	11371 	15652 	20493 	19618 	22423 
HIRE,GT20,MIO_TKM,LU	313 	361 	357 	387 	247 	297 	363 	356 	424 	560 	480 	423 	513 	571 	605 
HIRE,GT20,MIO_TKM,ME	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT20,MIO_TKM,MK	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT20,MIO_TKM,NL	: 	: 	: 	: 	: 	: 	: 	2 	: u	0 	: 	: 	: 	1357 	1660 
HIRE,GT20,MIO_TKM,NO	: u	: 	: 	: 	: 	: 	23 	: u	: u	: 	: 	: 	: 	: u	8 
HIRE,GT20,MIO_TKM,PL	25228 	16421 	16455 	17594 	19583 	17800 	15035 	11911 	14651 	13045 	14247 	14670 	16063 	8371 	9189 
HIRE,GT20,MIO_TKM,PT	1735 	1366 	1615 	1669 	1661 	1501 	1911 	2296 	1767 	914 	17 	: u	58 	353 	: u
HIRE,GT20,MIO_TKM,RO	1432 	1467 	1204 	1094 	1530 	2088 	1466 	912 	847 	1079 	972 	852 	150 	77 	369 
HIRE,GT20,MIO_TKM,SE	901 	360 	223 	180 	322 	307 	535 	293 	292 	213 	279 	445 	582 	442 	292 
HIRE,GT20,MIO_TKM,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
HIRE,GT20,MIO_TKM,SK	: 	5 	: u	: u	: u	2 	: u	: 	: u	182 	135 	: 	: 	: 	45 
HIRE,GT20,MIO_TKM,UK	: 	: 	: 	7 	220 	129 	242 	291 	769 	: u	: u	: u	: 	: 	: 
HIRE,GT20,THS_T,BE	8535 	2631 	: u	102 	330 	: u	2340 	965 	2313 	3339 	5475 	3908 	3687 	3075 	4942 
HIRE,GT20,THS_T,BG	325 	485 	691 	1229 	902 	2140 	1000 	1139 	908 	1583 	2442 	1397 	3067 	7501 	7570 
HIRE,GT20,THS_T,CH	1785 	1180 	1091 	697 	1477 	1076 	610 	1513 	627 	647 	746 	574 	1160 	906 	463 
HIRE,GT20,THS_T,CY	237 	19 	43 	119 	: u	67 	19 	27 	25 	18 	56 	63 	54 	51 	229 
HIRE,GT20,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89 	83 	100 	513 	1852 
HIRE,GT20,THS_T,DE	: 	: 	: 	6 	: u	: 	: u	: u	: u	: u	: u	61 	86 	: 	: 
HIRE,GT20,THS_T,EE	623 	596 	389 	339 	684 	987 	335 	477 	363 	216 	223 	302 	316 	456 	1359 
HIRE,GT20,THS_T,EL	3985 	6181 	3081 	3730 	2284 	1340 	961 	2098 	2325 	1382 	1100 	977 	8848 	9198 	5060 
HIRE,GT20,THS_T,EU27_2020	184325 	159568 	140193 	147763 	174440 	177162 	169109 	127307 	131776 	129899 	125251 	148781 	188009 	177826 	196363 
HIRE,GT20,THS_T,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55 	65 	109 
HIRE,GT20,THS_T,FR	151 	201 	336 	306 	540 	387 	513 	799 	380 	562 	385 	242 	575 	175 	: u
HIRE,GT20,THS_T,HR	94 	100 	58 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u
HIRE,GT20,THS_T,HU	68575 	67742 	57710 	55322 	55966 	53420 	43928 	288 	1335 	1652 	2220 	3241 	9312 	12894 	15520 
HIRE,GT20,THS_T,IE	: u	84 	: 	: 	: 	: 	: 	: u	: 	: 	35 	: u	35 	136 	490 
HIRE,GT20,THS_T,IT	24028 	27975 	26339 	21175 	52252 	65899 	71009 	76122 	80491 	79963 	72319 	97538 	117611 	109071 	113018 
HIRE,GT20,THS_T,LU	1163 	1327 	1298 	1351 	900 	1069 	1464 	1573 	1603 	1739 	1381 	1310 	1566 	1707 	2114 
HIRE,GT20,THS_T,ME	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT20,THS_T,MK	: 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT20,THS_T,NL	: 	: 	: 	: 	: 	: 	: 	13 	: u	2 	: 	: 	: 	6002 	7436 
HIRE,GT20,THS_T,NO	: u	: 	: 	: 	: 	: 	87 	: u	: u	: 	: 	: 	: 	: u	52 
HIRE,GT20,THS_T,PL	54913 	35783 	38373 	51865 	44775 	39511 	33390 	30511 	30157 	29745 	33869 	32969 	35451 	20451 	28899 
HIRE,GT20,THS_T,PT	7789 	7482 	7071 	6436 	6040 	5658 	7371 	8428 	7640 	3761 	27 	: u	38 	605 	: u
HIRE,GT20,THS_T,RO	3750 	4164 	3297 	2761 	2836 	3952 	2681 	1938 	1835 	1753 	1379 	1274 	405 	759 	4788 
HIRE,GT20,THS_T,SE	10146 	4713 	1431 	2988 	6888 	2662 	4084 	2898 	2320 	3766 	3900 	5391 	6802 	5163 	2894 
HIRE,GT20,THS_T,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
HIRE,GT20,THS_T,SK	: 	85 	: u	: u	: u	31 	: u	: 	: u	419 	350 	: 	: 	: 	71 
HIRE,GT20,THS_T,UK	: 	: 	: 	143 	1335 	1287 	1587 	2189 	6411 	: u	: u	: u	: 	: 	: 
HIRE,TOTAL,MIO_TKM,AT	17840 	18112 	17157 	18007 	17532 	17698 	17915 	17384 	17334 	17182 	18863 	20935 	21108 	21931 	26351 
HIRE,TOTAL,MIO_TKM,BE	31440 	34627 	32850 	33126 	31955 	32509 	31795 	32631 	29450 	30730 	29939 	28994 	31517 	31828 	35818 
HIRE,TOTAL,MIO_TKM,BG	30708 	30128 	29114 	17439 	23235 	32173 	32061 	28724 	24436 	23426 	20983 	17988 	15634 	13877 	11033 
HIRE,TOTAL,MIO_TKM,CH	9170 	8803 	8731 	8806 	8587 	8642 	8372 	8239 	8362 	8960 	8855 	9735 	9827 	9475 	10326 
HIRE,TOTAL,MIO_TKM,CY	544 	428 	411 	473 	505 	480 	404 	351 	323 	330 	475 	505 	604 	565 	698 
HIRE,TOTAL,MIO_TKM,CZ	57260 	55506 	48810 	33204 	35326 	38647 	44466 	53161 	49626 	50209 	46347 	49909 	47967 	41115 	46059 
HIRE,TOTAL,MIO_TKM,DE	259886 	261131 	256892 	264396 	269436 	266368 	267383 	265281 	259481 	254680 	255898 	270228 	260156 	244043 	271803 
HIRE,TOTAL,MIO_TKM,DK	13250 	13439 	12841 	13294 	13044 	13644 	14069 	13751 	14292 	14071 	14673 	14159 	13000 	14818 	17473 
HIRE,TOTAL,MIO_TKM,EE	4155 	4966 	4024 	4512 	5512 	5779 	6328 	5882 	5886 	5568 	5504 	5596 	5228 	5163 	7183 
HIRE,TOTAL,MIO_TKM,EL	15630 	15526 	19661 	22001 	22808 	21950 	13764 	12997 	12537 	10210 	14240 	13409 	20123 	16889 	18372 
HIRE,TOTAL,MIO_TKM,ES	256835 	259699 	232550 	239151 	229255 	221871 	207978 	200599 	187380 	184203 	189638 	196085 	198338 	199143 	226923 
HIRE,TOTAL,MIO_TKM,EU27_2020	1720020 	1718691 	1608881 	1622002 	1568017 	1555111 	1464526 	1410481 	1377794 	1368605 	1330414 	1374077 	1389942 	1317856 	1474755 
HIRE,TOTAL,MIO_TKM,FI	28886 	28259 	28423 	27153 	26946 	26418 	25175 	22958 	22000 	23066 	23793 	24909 	27228 	25592 	28785 
HIRE,TOTAL,MIO_TKM,FR	152368 	153830 	148751 	152233 	148817 	130495 	119620 	120366 	132271 	138938 	142337 	152504 	151338 	145381 	175906 
