tra_type,nst07,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT01,THS_T,EE	3064 	2864 	1916 	4478 	4017 	4056 	3185 	3174 	3697 	3629 	3609 	3355 	3201 	2947 	2853 
HIRE,GT01,THS_T,EL	11599 	11277 	10656 	11329 	8870 	10393 	9430 	7661 	11150 	6917 	8594 	7490 	9622 	6917 	5885 
HIRE,GT01,THS_T,ES	147153 	137143 	142661 	139815 	134508 	138628 	120265 	125427 	114136 	112312 	104365 	101573 	90695 	99645 	101718 
HIRE,GT01,THS_T,EU27_2020	971583 	956411 	942750 	904461 	897955 	869013 	828797 	833424 	816706 	777953 	772819 	789943 	776843 	738828 	690701 
HIRE,GT01,THS_T,FI	52200 	51102 	44519 	54473 	49093 	50895 	55954 	45448 	45995 	40533 	48277 	40620 	51991 	43407 	44249 
HIRE,GT01,THS_T,FR	171063 	175093 	176633 	173253 	171523 	138328 	135087 	144878 	159708 	154969 	152006 	172885 	170616 	154166 	142507 
HIRE,GT01,THS_T,HR	4406 	3816 	3691 	3679 	2983 	3411 	3188 	2858 	3296 	2619 	2257 	2475 	2947 	2950 	2767 
HIRE,GT01,THS_T,HU	17077 	18532 	17699 	18657 	18474 	20320 	19120 	19578 	17713 	17005 	16842 	17678 	17937 	16521 	17283 
HIRE,GT01,THS_T,IE	10277 	9475 	8940 	9981 	8404 	10666 	10819 	9469 	8221 	8149 	9229 	8935 	7658 	5461 	4611 
HIRE,GT01,THS_T,IT	50766 	52243 	48319 	49588 	48064 	45142 	43805 	47964 	39098 	57633 	52696 	67826 	60104 	56602 	42404 
HIRE,GT01,THS_T,LT	9193 	7787 	7729 	7741 	7243 	6546 	5555 	6430 	5342 	4631 	4281 	3923 	4043 	4006 	3625 
HIRE,GT01,THS_T,LU	1060 	628 	855 	989 	587 	578 	574 	553 	600 	1314 	880 	1462 	1320 	689 	809 
HIRE,GT01,THS_T,LV	13229 	14519 	11132 	10078 	12979 	9337 	10197 	8491 	8315 	7896 	6559 	7354 	8302 	5772 	4854 
HIRE,GT01,THS_T,ME	: 	11 	20 	26 	36 	26 	43 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT01,THS_T,MK	: 	: 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT01,THS_T,NL	47000 	54396 	52757 	48579 	48234 	45656 	47126 	42446 	45851 	43956 	45444 	45028 	45845 	46033 	38912 
HIRE,GT01,THS_T,NO	27178 	23007 	20728 	19653 	22012 	18187 	21782 	18379 	16176 	14338 	11964 	14970 	11723 	12829 	15980 
HIRE,GT01,THS_T,PL	74627 	73719 	67705 	55736 	65330 	80066 	67253 	58455 	53997 	49593 	46881 	42352 	43643 	53773 	29973 
HIRE,GT01,THS_T,PT	12298 	10293 	9062 	9416 	9693 	8512 	9032 	8418 	8329 	11038 	7441 	9979 	11096 	9972 	11227 
HIRE,GT01,THS_T,RO	7702 	8527 	5660 	6416 	6895 	7013 	6407 	5407 	4161 	4358 	2366 	3439 	3059 	3711 	3568 
HIRE,GT01,THS_T,SE	54099 	59427 	66598 	48769 	61516 	55186 	54826 	57195 	53886 	42904 	42769 	45578 	51168 	55353 	59074 
HIRE,GT01,THS_T,SI	8186 	8395 	8410 	9116 	7106 	8041 	6999 	6374 	6633 	6096 	5237 	5514 	4649 	4404 	4412 
HIRE,GT01,THS_T,SK	16555 	14888 	17913 	20975 	13962 	10225 	12743 	11707 	11317 	9144 	13224 	12432 	12477 	9755 	10358 
HIRE,GT01,THS_T,UK	: 	: 	: 	62337 	80905 	65778 	62806 	68276 	76510 	64988 	67937 	60842 	63929 	63937 	65784 
HIRE,GT02,MIO_TKM,AT	26 	39 	19 	67 	48 	68 	77 	35 	52 	74 	40 	44 	52 	29 	35 
HIRE,GT02,MIO_TKM,BE	44 	52 	: u	91 	106 	54 	41 	34 	72 	93 	78 	59 	87 	84 	98 
HIRE,GT02,MIO_TKM,BG	666 	104 	: u	100 	67 	110 	192 	47 	73 	80 	15 	71 	17 	: u	51 
HIRE,GT02,MIO_TKM,CH	3 	3 	29 	5 	7 	3 	16 	13 	: u	3 	36 	6 	2 	7 	: u
HIRE,GT02,MIO_TKM,CZ	285 	282 	246 	165 	272 	263 	225 	261 	229 	270 	349 	539 	437 	280 	351 
HIRE,GT02,MIO_TKM,DE	774 	778 	668 	718 	868 	913 	798 	963 	831 	730 	659 	538 	457 	1085 	1011 
HIRE,GT02,MIO_TKM,DK	11 	13 	: u	5 	29 	16 	10 	20 	7 	24 	27 	29 	62 	26 	34 
HIRE,GT02,MIO_TKM,EE	11 	42 	21 	30 	42 	39 	19 	: u	8 	7 	43 	11 	10 	66 	9 
HIRE,GT02,MIO_TKM,EL	102 	68 	61 	73 	55 	42 	70 	109 	213 	222 	189 	145 	220 	52 	187 
HIRE,GT02,MIO_TKM,ES	264 	481 	369 	343 	617 	805 	753 	1024 	1054 	781 	1104 	1210 	905 	1267 	1461 
HIRE,GT02,MIO_TKM,EU27_2020	9138 	8917 	8142 	8186 	8239 	8682 	7399 	6947 	7455 	7749 	7519 	7880 	7708 	7985 	8621 
HIRE,GT02,MIO_TKM,FI	240 	105 	76 	61 	49 	: u	65 	140 	: u	47 	47 	49 	51 	154 	91 
HIRE,GT02,MIO_TKM,FR	937 	813 	962 	731 	817 	801 	744 	655 	904 	897 	1042 	865 	904 	919 	429 
HIRE,GT02,MIO_TKM,HR	97 	84 	95 	78 	65 	75 	38 	49 	39 	28 	30 	36 	14 	50 	65 
HIRE,GT02,MIO_TKM,HU	174 	184 	285 	151 	249 	164 	169 	374 	101 	102 	181 	162 	95 	65 	131 
HIRE,GT02,MIO_TKM,IE	44 	39 	36 	49 	47 	72 	49 	45 	39 	49 	37 	74 	46 	90 	178 
HIRE,GT02,MIO_TKM,IT	1805 	1980 	2424 	2227 	1379 	1574 	1281 	977 	1599 	1483 	1345 	1530 	1706 	1584 	2117 
HIRE,GT02,MIO_TKM,LT	249 	43 	36 	96 	71 	83 	72 	36 	42 	41 	39 	32 	33 	53 	35 
HIRE,GT02,MIO_TKM,LU	64 	57 	30 	46 	47 	30 	8 	30 	50 	66 	105 	168 	192 	185 	62 
HIRE,GT02,MIO_TKM,LV	19 	: 	: u	: u	0 	: u	: u	: u	9 	: 	: u	37 	7 	7 	: u
HIRE,GT02,MIO_TKM,ME	: 	: u	: u	: u	: u	: u	3 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT02,MIO_TKM,MK	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT02,MIO_TKM,NL	55 	6 	9 	13 	28 	8 	26 	37 	17 	38 	35 	32 	38 	36 	45 
HIRE,GT02,MIO_TKM,NO	1 	: u	14 	40 	53 	66 	32 	36 	61 	23 	12 	: 	: u	: u	42 
HIRE,GT02,MIO_TKM,PL	2956 	3616 	2566 	2868 	3115 	3126 	2609 	1877 	1936 	2601 	2072 	1980 	2190 	1678 	1828 
HIRE,GT02,MIO_TKM,PT	23 	10 	16 	18 	36 	49 	29 	9 	28 	15 	: u	50 	: u	: u	71 
HIRE,GT02,MIO_TKM,RO	122 	41 	22 	56 	16 	58 	44 	25 	9 	22 	34 	133 	89 	117 	148 
HIRE,GT02,MIO_TKM,SE	116 	41 	150 	146 	149 	213 	71 	172 	55 	18 	: u	18 	53 	7 	29 
HIRE,GT02,MIO_TKM,SI	45 	25 	10 	: u	14 	25 	: u	20 	33 	17 	12 	11 	21 	33 	19 
HIRE,GT02,MIO_TKM,SK	11 	12 	5 	20 	52 	77 	3 	5 	49 	45 	14 	56 	14 	96 	125 
HIRE,GT02,MIO_TKM,UK	: 	: 	: 	388 	658 	757 	499 	624 	964 	907 	914 	755 	1399 	1068 	1674 
HIRE,GT02,THS_T,AT	212 	261 	227 	405 	280 	380 	518 	549 	379 	421 	340 	320 	486 	572 	272 
HIRE,GT02,THS_T,BE	340 	265 	: u	530 	647 	447 	475 	247 	606 	377 	862 	445 	561 	463 	1699 
HIRE,GT02,THS_T,BG	1236 	682 	: u	640 	1507 	871 	540 	1145 	446 	2401 	633 	467 	1209 	: u	1753 
HIRE,GT02,THS_T,CH	62 	78 	337 	83 	68 	113 	471 	48 	: u	81 	211 	92 	84 	206 	: u
HIRE,GT02,THS_T,CZ	2432 	1871 	1911 	2430 	3741 	2502 	3508 	2594 	2990 	4806 	3817 	4338 	4352 	4351 	3466 
HIRE,GT02,THS_T,DE	6650 	7323 	4331 	7082 	6698 	8594 	7034 	7530 	6249 	6549 	4668 	4873 	4915 	11483 	14900 
HIRE,GT02,THS_T,DK	113 	200 	: u	145 	252 	136 	481 	241 	556 	237 	773 	251 	702 	169 	356 
HIRE,GT02,THS_T,EE	146 	174 	417 	314 	444 	313 	225 	: u	80 	216 	1540 	62 	715 	493 	110 
HIRE,GT02,THS_T,EL	5496 	832 	1930 	5154 	7569 	3494 	4501 	10287 	7581 	9493 	8896 	8985 	9843 	4473 	6284 
HIRE,GT02,THS_T,ES	1800 	3487 	3211 	4047 	7193 	12475 	9644 	13817 	11698 	11976 	14814 	21239 	13844 	17932 	21584 
HIRE,GT02,THS_T,EU27_2020	59764 	61098 	50712 	67602 	76066 	70529 	68039 	76677 	62227 	76590 	79905 	75951 	81038 	80467 	92013 
HIRE,GT02,THS_T,FI	1799 	1327 	1358 	1417 	1681 	: u	989 	1989 	: u	633 	1240 	561 	539 	1853 	923 
HIRE,GT02,THS_T,FR	5985 	5545 	5353 	4914 	5002 	5569 	5949 	6604 	7288 	8391 	9530 	7176 	7451 	9594 	5399 
HIRE,GT02,THS_T,HR	497 	420 	305 	417 	304 	595 	186 	175 	302 	293 	144 	274 	71 	258 	895 
HIRE,GT02,THS_T,HU	1771 	1780 	2558 	1537 	1624 	739 	1193 	4378 	922 	1065 	1432 	996 	912 	645 	1300 
HIRE,GT02,THS_T,IE	289 	395 	289 	373 	467 	639 	436 	307 	400 	474 	603 	584 	566 	980 	2369 
HIRE,GT02,THS_T,IT	12019 	13414 	12835 	10879 	8337 	7594 	10575 	6852 	8920 	10352 	11446 	8458 	12700 	11335 	13243 
HIRE,GT02,THS_T,LT	850 	166 	176 	184 	389 	448 	267 	214 	117 	149 	165 	142 	153 	159 	208 
HIRE,GT02,THS_T,LU	256 	180 	118 	206 	168 	131 	43 	131 	167 	361 	467 	1127 	1493 	1426 	476 
HIRE,GT02,THS_T,LV	176 	: 	: u	: u	29 	: u	: u	: u	139 	: 	: u	98 	73 	33 	: u
HIRE,GT02,THS_T,ME	: 	: u	: u	: u	: u	: u	27 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT02,THS_T,MK	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT02,THS_T,NL	312 	42 	180 	128 	100 	39 	378 	197 	149 	171 	199 	171 	206 	197 	198 
HIRE,GT02,THS_T,NO	155 	: u	60 	190 	316 	155 	71 	273 	108 	127 	119 	: 	: u	: u	267 
HIRE,GT02,THS_T,PL	15160 	22060 	14318 	23960 	27462 	23600 	20006 	17055 	12514 	17644 	17362 	13709 	18115 	11442 	13488 
