unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
THS_T,AT	103870 	105255 	97512 	102575 	105271 	107579 	102835 	100163 	100267 	96449 	100452 	107587 	107670 	98887 	121579 	115526 	110779 	101829 	92930 	82091 
THS_T,BA	12685 	12305 	11414 	13693 	13514 	13254 	13155 	13677 	13506 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	55876 	54476 	45718 	64648 	66248 	: c	: c	: c	55732 
THS_T,BG	19291 	18048 	16374 	14948 	14796 	16030 	14226 	14635 	13691 	13539 	12470 	14152 	12939 	13284 	19716 	21905 	21881 	: 	: 	: 
THS_T,CH	69319 	67901 	64987 	68658 	68719 	67157 	67846 	66089 	65375 	64999 	60270 	65038 	63989 	61848 	69864 	: 	: 	: 	: 	: 
THS_T,CZ	90797 	99550 	90902 	98804 	99307 	96516 	98034 	97280 	91556 	83957 	82968 	87096 	82900 	76715 	95073 	99777 	97491 	85613 	88843 	93297 
THS_T,DE	368876 	363646 	325303 	364120 	356299 	370722 	396326 	367314 	365003 	373738 	366140 	374737 	355715 	312087 	371298 	361116 	346118 	317294 	310261 	296925 
THS_T,DK	7759 	6936 	8615 	8512 	9097 	9314 	9383 	8652 	8082 	7956 	7982 	9276 	8121 	6163 	7198 	6901 	7477 	7706 	8162 	7711 
THS_T,EE	17713 	23306 	15801 	21341 	27813 	27256 	25364 	28026 	36289 	43682 	44725 	48378 	46705 	45954 	52752 	68538 	61284 	68187 	65647 	65588 
THS_T,EL	: c	: c	: c	: c	: c	1328 	1094 	1404 	2143 	1980 	2272 	2702 	3982 	3377 	4253 	4943 	3884 	3058 	2968 	: 
THS_T,ES	24895 	24716 	22254 	26268 	27161 	27654 	26504 	28960 	28436 	24949 	24903 	23899 	21578 	21087 	26856 	29918 	29862 	29731 	30514 	26244 
THS_T,FI	31229 	40180 	38406 	38464 	40721 	38468 	36162 	33392 	37008 	36433 	35267 	34827 	35795 	32860 	41937 	40288 	43560 	40722 	42663 	43503 
THS_T,FR	89590 	94613 	83143 	91997 	89457 	98573 	96702 	102743 	90826 	92712 	87539 	91789 	85045 	86126 	108536 	111214 	109201 	107532 	117415 	120676 
THS_T,HR	16257 	15176 	14992 	14449 	13444 	12178 	9985 	9939 	10390 	10661 	11088 	11794 	12203 	11651 	14851 	15764 	15395 	14333 	12234 	: 
