freq,unit,tra_meas,schedule,tra_cov,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,T,FRM_LD_NLD,TOT,TOTAL,NL	1709271 	1648522 	1371235 	1600381 	1614894.7 	1563499.7 	1620037.6 	1727454.8 	1712031.3 	1831791.8 	1865105.5 	1840418.8 	1703556.1 	1591388.6 	1807924.4 	1553481.8 
A,T,FRM_LD_NLD,TOT,TOTAL,NO	: 	: 	51357 	49414 	65742 	78420 	106722 	116390 	127698 	127745 	169295 	174840 	187379 	176298 	194435 	173035 
A,T,FRM_LD_NLD,TOT,TOTAL,PL	44730 	58148 	53510 	61238.1 	68485 	74831 	77559.9 	84386.2 	92690 	107880.3 	121303.2 	134673.1 	143109.5 	111278.6 	143385 	201957.3 
A,T,FRM_LD_NLD,TOT,TOTAL,PT	130827 	136364 	125501 	137131 	121465 	117645 	126612 	134982 	133416 	136578 	164732 	173493 	194214 	133074.8 	174997.5 	206167.1 
A,T,FRM_LD_NLD,TOT,TOTAL,RO	19229 	24431 	23482 	24512 	26156 	28523 	30605 	31113 	33399 	37456 	41692 	45310 	44217 	38769 	39033 	47636 
A,T,FRM_LD_NLD,TOT,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	9914 	22350 	27375.1 	22659.1 	16751.7 	14847.9 	13647.1 
A,T,FRM_LD_NLD,TOT,TOTAL,SE	0 	205760 	161179 	186263 	164618 	141365 	130405 	141887 	146287 	147214 	159129.9 	158632.4 	162743.4 	132083 	154596.2 	146498.6 
A,T,FRM_LD_NLD,TOT,TOTAL,SI	12515 	8180 	5584 	6071 	6877 	7572 	7969 	8563 	8891 	8970 	12024.5 	12337.3 	11357.8 	10552.6 	11381.5 	12467.7 
A,T,FRM_LD_NLD,TOT,TOTAL,SK	2282 	7432 	12231 	17835 	20542 	20893 	20588 	18498 	21216 	23028 	27188.3 	24564.8 	20525.3 	24772.1 	19644.2 	18060.9 
A,T,FRM_LD_NLD,TOT,TOTAL,UK	2443483 	2411463 	2156206 	2429025.9 	2419717.6 	2428374.6 	2369878.6 	2406673 	2405225 	2511011 	2738784 	2748539 	2650232.3 	: 	: 	: 
