freq,tra_cov,nst07,typpack,unit,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT02,TOTAL,THS_T,LU	3344 	3409 	2514 	3231 	2394 	2484 	2754 	1770 	750 	542 	595 	403 	386 	287 	474 	784 
A,TOTAL,GT02,TOTAL,THS_T,NL	35493 	34610 	29037 	33881 	27791 	34103 	39800 	36702 	31244 	28936 	27442 	26350 	22967 	18481 	25390 	30088 
A,TOTAL,GT02,TOTAL,THS_T,PL	1727 	2205 	1369 	923 	954 	693 	573 	1043 	928 	820 	914 	646 	477 	580 	487 	155 
A,TOTAL,GT02,TOTAL,THS_T,RO	: 	4777 	3343 	3034 	2659 	2374 	2473 	2251 	2358 	1532 	1648 	1423 	1299 	1238 	1808 	1377 
A,TOTAL,GT02,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	314 d	: 	: 	: 	: 	98 
A,TOTAL,GT02,TOTAL,THS_T,SK	: 	149 	304 	421 	148 	149 	58 	10 	: 	80 	89 	62 	198 	100 	83 	396 
A,TOTAL,GT02,TOTAL,THS_T,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 	: 	: 	: 
A,TOTAL,GT03,TOTAL,THS_T,AT	: 	3934 	3074 	4002 	3377 	4014 	3609 	3416 	3104 	3255 	3339 	2471 	2731 	3087 	3245 	2241 
A,TOTAL,GT03,TOTAL,THS_T,BE	41892 	42602 	34493 	39960 	42757 	44900 	42440 	42722 	43113 	43723 	46175 	31058 b	31035 	29364 	31029 	29975 
A,TOTAL,GT03,TOTAL,THS_T,BG	: 	4895 	6858 	6105 	4998 	5643 	5800 	4439 	4671 	4626 	4607 	4288 	4946 	3792 	3602 	3208 
A,TOTAL,GT03,TOTAL,THS_T,CZ	: 	403 	282 	397 	513 	434 	226 	490 	609 	616 	365 	273 	571 	236 	190 	236 
A,TOTAL,GT03,TOTAL,THS_T,DE	71372 	71419 	53081 	60120 	59109 	55582 	54884 	56452 	55058 	54865 	57066 	51967 	54802 	49399 	51081 	46930 
A,TOTAL,GT03,TOTAL,THS_T,EU15	: 	163454 	139722 	158419 	164128 	153205 	149015 	151527 	149517 	152754 	156018 	147244 	139660 	: 	: 	: 
A,TOTAL,GT03,TOTAL,THS_T,EU25	: 	166885 	141761 	160362 	166343 	154984 	151120 	156762 	153464 	155524 	158335 	149272 	141997 	: 	: 	: 
A,TOTAL,GT03,TOTAL,THS_T,EU27_2007	: 	185885 	150202 	174989 	181118 	168967 	163087 	167681 	166162 	167441 	169451 	160953 	155329 	: 	: 	: 
A,TOTAL,GT03,TOTAL,THS_T,EU27_2020	: 	183841 	148266 	173725 	179253 	167442 	161444 	166402 	164849 	167202 	168667 	159922 	155547 	148561 	150708 	134435 
A,TOTAL,GT03,TOTAL,THS_T,EU28	: 	186004 	150257 	175019 	181174 	169097 	163114 	167734 	166209 	167673 	169602 	160988 	155547 	: 	: 	: 
A,TOTAL,GT03,TOTAL,THS_T,FR	28745 	26943 	24121 	24452 	24089 	24001 	22759 	21355 	19848 	23704 	23897 	23299 	26742 	23155 	24534 	20718 
A,TOTAL,GT03,TOTAL,THS_T,HR	: 	2103 	1490 	1866 	1455 	1674 	1416 	1250 	1128 	1483 	1466 	1441 	1981 	1552 	1663 	1193 
