freq,tra_cov,nst07,typpack,unit,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT08,TOTAL,THS_T,UK	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT09,TOTAL,THS_T,AT	: 	42 	20 	35 	56 	18 	24 	40 	28 	12 	92 	36 	14 	6 	1 	1 
A,TOTAL,GT09,TOTAL,THS_T,BE	7851 	8780 	6216 	6867 	7347 	8754 	8419 	9161 	8697 	9127 	9426 	5946 b	6425 	6483 	6966 	7991 
A,TOTAL,GT09,TOTAL,THS_T,BG	: 	211 	168 	118 	109 	184 	158 	107 	67 	84 	73 	124 	141 	171 	205 	104 
A,TOTAL,GT09,TOTAL,THS_T,CZ	: 	5 	5 	1 	1 	1 	1 	: 	: 	: 	: 	: 	5 	: 	0 n	: 
A,TOTAL,GT09,TOTAL,THS_T,DE	5469 	5230 	4492 	4743 	3235 	3116 	3296 	3182 	2947 	3056 	3443 	3289 	3245 	3025 	2764 	2379 
A,TOTAL,GT09,TOTAL,THS_T,EU15	: 	14746 	11498 	12111 	11316 	12221 	11530 	12828 	11875 	11921 	12553 	10209 	10771 	: 	: 	: 
A,TOTAL,GT09,TOTAL,THS_T,EU25	: 	14836 	11578 	12206 	11405 	12342 	11652 	12955 	11941 	11975 	12605 	10263 	10828 	: 	: 	: 
A,TOTAL,GT09,TOTAL,THS_T,EU27_2007	: 	16012 	11901 	12327 	11489 	12670 	11797 	13001 	12011 	11973 	12637 	10346 	10872 	: 	: 	: 
A,TOTAL,GT09,TOTAL,THS_T,EU27_2020	: 	16013 	11901 	12327 	11490 	12672 	11804 	13040 	12033 	11982 	12646 	10346 	10871 	10912 	10973 	10648 
A,TOTAL,GT09,TOTAL,THS_T,EU28	: 	16013 	11901 	12327 	11490 	12672 	11804 	13040 	12033 	11982 	12646 	10346 	10871 	: 	: 	: 
A,TOTAL,GT09,TOTAL,THS_T,FR	936 	1426 	1159 	1225 	1260 	1292 	915 	942 	846 	711 	769 	798 	905 	975 	1035 	567 
A,TOTAL,GT09,TOTAL,THS_T,HR	: 	271 	58 	51 	29 	47 	40 	73 	46 	39 	21 	39 	44 	24 	57 	36 
A,TOTAL,GT09,TOTAL,THS_T,HU	115 	119 	11 	40 	38 	41 	54 	36 	26 	29 	12 	15 	26 	6 	29 	13 
A,TOTAL,GT09,TOTAL,THS_T,IT	: 	73 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,GT09,TOTAL,THS_T,LU	37 	6 	2 	: 	3 	: 	: 	: 	46 	53 	31 	69 	50 	53 	120 	23 
A,TOTAL,GT09,TOTAL,THS_T,NL	5159 	4835 	4091 	4971 	4617 	4141 	4229 	5907 	5330 	4932 	4940 	5015 	5140 	4820 	4971 	4512 
A,TOTAL,GT09,TOTAL,THS_T,PL	49 	62 	5 	5 	17 	26 	32 	66 	45 	17 	41 	31 	20 	17 	9 	25 
A,TOTAL,GT09,TOTAL,THS_T,RO	: 	1255 	399 	203 	149 	406 	216 	88 	100 	48 	43 	138 	169 	280 	314 	220 
A,TOTAL,GT09,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 d	: 	: 	: 	39 d	47 
A,TOTAL,GT09,TOTAL,THS_T,SK	: 	84 	72 	77 	75 	74 	56 	62 	19 	36 	15 	31 	34 	28 	21 	13 
A,TOTAL,GT10,TOTAL,THS_T,AT	: 	1498 	760 	961 	881 	739 	1113 	1045 	910 	1122 	1326 	1089 	1003 	860 	1041 	981 
A,TOTAL,GT10,TOTAL,THS_T,BE	11422 	8636 	5264 	9964 	10662 	12080 	12163 	12353 	12128 	11738 	11993 	8807 b	8319 	7225 	10025 	10054 
A,TOTAL,GT10,TOTAL,THS_T,BG	: 	1005 	840 	917 	1093 	842 	763 	688 	1204 	1614 	1078 	1284 	1425 	1198 	1502 	1112 
A,TOTAL,GT10,TOTAL,THS_T,CZ	: 	35 	12 	23 	11 	23 	39 	47 	18 	34 	25 	14 	14 	5 	1 	1 
A,TOTAL,GT10,TOTAL,THS_T,DE	17422 	16200 	10069 	11663 	11858 	11207 	11180 	12066 	11839 	11395 	12258 	10465 	10096 	8545 	9411 	9200 
A,TOTAL,GT10,TOTAL,THS_T,EU15	: 	22359 	14002 	19788 	21160 	21565 	21998 	21347 	21374 	21311 	21999 	18997 	19536 	: 	: 	: 
A,TOTAL,GT10,TOTAL,THS_T,EU25	: 	22814 	14117 	20019 	21303 	21707 	22149 	21474 	21483 	21424 	22097 	19060 	19580 	: 	: 	: 
A,TOTAL,GT10,TOTAL,THS_T,EU27_2007	: 	24758 	15141 	20611 	22129 	22451 	22678 	21942 	22286 	22273 	22953 	20016 	20685 	: 	: 	: 
A,TOTAL,GT10,TOTAL,THS_T,EU27_2020	: 	24866 	15150 	20617 	22170 	22470 	22696 	21942 	22251 	22277 	22953 	19959 	20685 	18569 	23872 	22467 
A,TOTAL,GT10,TOTAL,THS_T,EU28	: 	24871 	15152 	20619 	22171 	22470 	22696 	21946 	22286 	22277 	22953 	20018 	20687 	: 	: 	: 
A,TOTAL,GT10,TOTAL,THS_T,FR	5739 	3728 	2172 	3034 	3016 	2748 	2953 	3029 	3144 	3946 	3343 	2825 	3229 	2456 	3049 	2819 
A,TOTAL,GT10,TOTAL,THS_T,HR	: 	985 	319 	521 	574 	427 	510 	390 	536 	784 	716 	678 	661 	694 	657 	707 
A,TOTAL,GT10,TOTAL,THS_T,HU	1563 	1272 	485 	778 	766 	622 	815 	649 	724 	890 	890 	812 	734 	690 	738 	795 
A,TOTAL,GT10,TOTAL,THS_T,IT	10 	6 	12 	89 	22 	5 	6 	32 	58 	55 	80 	99 	52 	172 	184 	190 
A,TOTAL,GT10,TOTAL,THS_T,LU	1036 	1016 	515 	727 	678 	654 	724 	747 	705 	723 	776 	585 	581 	478 	713 	526 
A,TOTAL,GT10,TOTAL,THS_T,NL	14180 	12596 	8373 	11227 	12705 	11809 	11543 	11604 	11998 	12004 	13428 	12370 	13307 	11867 	16786 	15383 
A,TOTAL,GT10,TOTAL,THS_T,PL	625 	383 	172 	239 	197 	169 	111 	56 	79 	88 	293 	356 	261 	132 	72 	33 
A,TOTAL,GT10,TOTAL,THS_T,RO	: 	1865 	1492 	1104 	1246 	1032 	912 	769 	1245 	1744 	1283 	1406 	1524 	1200 	1599 	1603 
A,TOTAL,GT10,TOTAL,THS_T,SK	: 	164 	53 	93 	121 	18 	23 	43 	42 	117 	115 	59 	93 	103 	83 	136 
A,TOTAL,GT10,TOTAL,THS_T,UK	24 	5 	3 	2 	1 	0 n	0 	4 	35 	0 	0 	59 	1 	: 	: 	: 
A,TOTAL,GT11,TOTAL,THS_T,AT	: 	52 	42 	50 	49 	50 	80 	75 	48 	34 	64 	30 	32 	31 	39 	32 
A,TOTAL,GT11,TOTAL,THS_T,BE	58 	29 	34 	84 	89 	155 	181 	176 	286 	346 	272 	303 b	740 	635 	943 	1096 
A,TOTAL,GT11,TOTAL,THS_T,BG	: 	49 	18 	14 	26 	13 	32 	38 	41 	22 	32 	58 	43 	79 	80 	42 
A,TOTAL,GT11,TOTAL,THS_T,CZ	: 	20 	18 	14 	11 	13 	11 	15 	12 	9 	8 	4 	3 	1 	3 	4 
A,TOTAL,GT11,TOTAL,THS_T,DE	758 	641 	731 	717 	731 	734 	721 	732 	746 	748 	771 	667 	786 	641 	871 	783 
A,TOTAL,GT11,TOTAL,THS_T,EU15	: 	643 	729 	790 	710 	634 	550 	655 	874 	833 	867 	803 	1554 	: 	: 	: 
A,TOTAL,GT11,TOTAL,THS_T,EU25	: 	664 	748 	842 	736 	656 	554 	663 	877 	839 	869 	805 	1557 	: 	: 	: 
A,TOTAL,GT11,TOTAL,THS_T,EU27_2007	: 	692 	743 	842 	731 	640 	570 	683 	899 	850 	894 	858 	1596 	: 	: 	: 
A,TOTAL,GT11,TOTAL,THS_T,EU27_2020	: 	691 	743 	843 	731 	640 	572 	680 	899 	850 	894 	858 	1596 	1324 	1462 	1513 
A,TOTAL,GT11,TOTAL,THS_T,EU28	: 	692 	743 	843 	731 	640 	572 	682 	899 	850 	894 	858 	1596 	: 	: 	: 
A,TOTAL,GT11,TOTAL,THS_T,FR	50 	65 	51 	67 	45 	41 	31 	39 	36 	26 	24 	24 	19 	14 	17 	26 
A,TOTAL,GT11,TOTAL,THS_T,HR	: 	56 	49 	54 	63 	63 	50 	40 	48 	53 	25 	40 	23 	37 	15 	25 
A,TOTAL,GT11,TOTAL,THS_T,HU	98 	78 	62 	65 	69 	65 	46 	44 	60 	71 	23 	41 	24 	38 	17 	27 
A,TOTAL,GT11,TOTAL,THS_T,IT	26 	23 	24 	7 	3 	1 	5 	0 n	3 	0 n	4 	3 	3 	0 	7 	13 
A,TOTAL,GT11,TOTAL,THS_T,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 
A,TOTAL,GT11,TOTAL,THS_T,LU	2 	52 	100 	91 	64 	50 	47 	64 	32 	1 	0 n	0 n	0 n	0 n	2 	0 n
A,TOTAL,GT11,TOTAL,THS_T,NL	474 	547 	388 	537 	502 	416 	382 	499 	534 	420 	553 	677 	1693 	1399 	1476 	1512 
A,TOTAL,GT11,TOTAL,THS_T,PL	11 	3 	3 	1 	2 	0 n	1 	7 	1 	5 	2 	2 	1 	1 	6 	5 
A,TOTAL,GT11,TOTAL,THS_T,RO	: 	20 	21 	27 	37 	33 	72 	44 	48 	32 	49 	62 	55 	102 	95 	64 
A,TOTAL,GT11,TOTAL,THS_T,SK	: 	10 	215 	60 	38 	35 	17 	1 	0 n	: 	: 	0 n	1 	: 	: 	: 
A,TOTAL,GT11,TOTAL,THS_T,UK	: 	1 	: 	: 	: 	: 	: 	3 	0 	0 	0 	0 	0 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,AT	: 	77 	60 	69 	76 	45 	22 	26 	23 	26 	20 	24 	28 	27 	24 	28 
A,TOTAL,GT12,TOTAL,THS_T,BE	98 	78 	57 	242 	259 	80 	78 	128 	157 	195 	144 	94 b	146 	165 	177 	192 
A,TOTAL,GT12,TOTAL,THS_T,BG	: 	11 	33 	22 	33 	45 	24 	4 	3 	1 	1 	1 	1 	0 n	0 n	4 
A,TOTAL,GT12,TOTAL,THS_T,CZ	: 	5 	7 	5 	3 	2 	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,DE	1021 	892 	709 	849 	831 	902 	961 	1014 	1165 	1171 	1333 	1176 	1332 	1101 	879 	880 
A,TOTAL,GT12,TOTAL,THS_T,EU15	: 	732 	583 	868 	918 	634 	658 	832 	935 	1064 	932 	784 	763 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,EU25	: 	736 	598 	875 	936 	654 	659 	831 	939 	1066 	935 	784 	763 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,EU27_2007	: 	713 	603 	856 	926 	662 	682 	835 	939 	1063 	929 	779 	759 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,EU27_2020	: 	712 	602 	854 	925 	662 	682 	835 	939 	1063 	929 	779 	759 	700 	565 	626 
A,TOTAL,GT12,TOTAL,THS_T,EU28	: 	713 	603 	856 	926 	662 	682 	835 	939 	1063 	929 	779 	759 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,FR	92 	68 	19 	12 	18 	5 	6 	7 	7 	: 	: 	2 	0 n	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,HR	: 	140 	152 	120 	109 	49 	18 	20 	20 	32 	23 	19 	32 	30 	36 	32 
A,TOTAL,GT12,TOTAL,THS_T,HU	125 	143 	156 	143 	126 	66 	35 	37 	37 	48 	37 	33 	49 	43 	47 	48 
A,TOTAL,GT12,TOTAL,THS_T,IT	: 	: 	: 	: 	6 	12 	2 	0 	0 n	0 n	0 	0 	0 	0 	0 n	0 
A,TOTAL,GT12,TOTAL,THS_T,LU	: 	: 	0 n	0 n	: 	: 	0 n	0 n	0 n	: 	0 n	: 	0 n	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,NL	497 	503 	328 	491 	555 	454 	498 	783 	756 	867 	765 	655 	502 	446 	405 	465 
A,TOTAL,GT12,TOTAL,THS_T,PL	9 	11 	16 	3 	15 	: 	: 	: 	4 	5 	5 	2 	0 n	3 	: 	0 n
A,TOTAL,GT12,TOTAL,THS_T,RO	: 	29 	38 	22 	33 	43 	11 	4 	1 	0 n	0 n	: 	1 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,SK	: 	0 n	0 n	1 	18 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT12,TOTAL,THS_T,UK	0 n	1 	1 	1 	2 	0 	0 	0 	0 	0 	0 	0 n	0 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,AT	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	0 n	: 
A,TOTAL,GT13,TOTAL,THS_T,BE	14 	22 	46 	45 	49 	45 	38 	46 	25 	22 	3 	1 b	2 	1 	3 	2 
A,TOTAL,GT13,TOTAL,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	0 n	1 
A,TOTAL,GT13,TOTAL,THS_T,CZ	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,DE	233 	181 	100 	126 	293 	316 	332 	508 	449 	284 	389 	335 	400 	491 	147 	131 
A,TOTAL,GT13,TOTAL,THS_T,EU15	: 	142 	106 	165 	356 	426 	376 	510 	453 	284 	385 	358 	405 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,EU25	: 	141 	107 	165 	356 	429 	377 	507 	452 	284 	384 	358 	407 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,EU27_2007	: 	138 	107 	165 	355 	428 	377 	507 	452 	284 	384 	358 	407 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,EU27_2020	: 	138 	107 	165 	355 	428 	377 	507 	452 	284 	384 	358 	407 	356 	146 	130 
A,TOTAL,GT13,TOTAL,THS_T,EU28	: 	138 	107 	165 	355 	428 	377 	507 	452 	284 	384 	358 	407 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,FR	4946 	0 n	: 	: 	: 	2 	1 	: 	: 	0 n	: 	0 n	: 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,HR	: 	: 	0 n	0 n	0 n	10 	1 	0 n	: 	: 	: 	1 	: 	: 	: 	0 n
A,TOTAL,GT13,TOTAL,THS_T,HU	1 	: 	0 n	0 n	0 n	10 	1 	0 n	: 	: 	: 	1 	: 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,IT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,GT13,TOTAL,THS_T,NL	8 	19 	16 	53 	45 	121 	54 	54 	57 	37 	41 	41 	14 	19 	15 	17 
A,TOTAL,GT13,TOTAL,THS_T,PL	: 	: 	: 	: 	: 	3 	1 	: 	: 	: 	: 	: 	2 	: 	: 	: 
A,TOTAL,GT13,TOTAL,THS_T,SK	: 	: 	6 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT14,TOTAL,THS_T,AT	: 	19 	18 	41 	5 	4 	16 	35 	15 	14 	18 	8 	18 	13 	6 	5 
A,TOTAL,GT14,TOTAL,THS_T,BE	199 	219 	218 	341 	365 	104 	188 	470 	910 	1384 	1924 	1168 b	1064 	1206 	1604 	1467 
A,TOTAL,GT14,TOTAL,THS_T,BG	: 	13 	5 	20 	8 	107 	390 	236 	115 	105 	180 	161 	171 	229 	186 	113 
A,TOTAL,GT14,TOTAL,THS_T,CZ	: 	3 	41 	7 	51 	25 	59 	61 	80 	72 	60 	51 	99 	35 	27 	40 
A,TOTAL,GT14,TOTAL,THS_T,DE	12149 	11982 	11566 	13359 	11823 	12184 	12078 	12265 	11133 	11227 	11840 	11402 	11359 	11504 	11017 	9180 
A,TOTAL,GT14,TOTAL,THS_T,EU15	: 	13942 	11527 	14556 	14868 	12305 	13173 	14346 	12582 	13730 	14021 	13803 	12916 	: 	: 	: 
A,TOTAL,GT14,TOTAL,THS_T,EU25	: 	14113 	11625 	14640 	14970 	12427 	13611 	14543 	13123 	14027 	14252 	13995 	13153 	: 	: 	: 
A,TOTAL,GT14,TOTAL,THS_T,EU27_2007	: 	14359 	11656 	14630 	15715 	12535 	13929 	14746 	13222 	14095 	14700 	14567 	13350 	: 	: 	: 
A,TOTAL,GT14,TOTAL,THS_T,EU27_2020	: 	13699 	11067 	14107 	15223 	11777 	12265 	12780 	12448 	12699 	13581 	13711 	13350 	14286 	14138 	12291 
A,TOTAL,GT14,TOTAL,THS_T,EU28	: 	14359 	11656 	14630 	15715 	12535 	13929 	14746 	13222 	14095 	14700 	14567 	13350 	: 	: 	: 
A,TOTAL,GT14,TOTAL,THS_T,FR	1394 	1871 	2064 	2618 	2832 	2805 	2589 	2801 	2532 	3282 	2082 	2083 	1812 	1626 	1702 	1418 
A,TOTAL,GT14,TOTAL,THS_T,HR	: 	19 	36 	102 	87 	56 	86 	76 	43 	69 	62 	56 	104 	126 	80 	51 
A,TOTAL,GT14,TOTAL,THS_T,HU	17 	20 	43 	122 	102 	58 	92 	76 	44 	69 	63 	56 	104 	126 	82 	53 
A,TOTAL,GT14,TOTAL,THS_T,IT	: 	: 	: 	: 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	2 
A,TOTAL,GT14,TOTAL,THS_T,LU	820 	1166 	855 	986 	1068 	1034 	971 	962 	810 	630 	776 	650 	746 	886 	1019 	540 
A,TOTAL,GT14,TOTAL,THS_T,NL	5982 	5501 	5488 	8312 	8729 	4588 	4422 	5630 	4777 	5275 	5071 	5411 	5120 	6014 	6137 	5784 
A,TOTAL,GT14,TOTAL,THS_T,PL	: 	338 	102 	150 	172 	191 	395 	163 	603 	280 	209 	145 	128 	48 	94 	36 
A,TOTAL,GT14,TOTAL,THS_T,RO	: 	238 	62 	97 	817 	160 	395 	278 	148 	114 	552 	646 	266 	303 	330 	189 
A,TOTAL,GT14,TOTAL,THS_T,SK	: 	1 	: 	18 	29 	21 	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 
A,TOTAL,GT14,TOTAL,THS_T,UK	892 	660 	589 	522 	493 	758 	1664 	1966 	774 	1396 	1119 	855 	0 	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: 	0 n	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,BG	: 	: 	0 n	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,CZ	: 	: 	: 	1 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 n	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,EU15	: 	: 	: 	: 	: 	0 	0 	0 	0 n	0 	0 	0 	0 n	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,EU25	: 	: 	: 	1 	: 	0 	0 	0 	0 n	0 	0 	0 	0 n	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,EU27_2007	: 	0 n	0 n	1 	: 	0 	0 	0 	0 n	0 	0 	0 	0 n	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,EU27_2020	: 	0 n	0 n	1 	: 	0 	0 	0 	0 n	0 	0 	0 	0 n	0 	0 	0 
A,TOTAL,GT15,TOTAL,THS_T,EU28	: 	0 n	0 n	1 	: 	0 	0 	0 	0 n	0 	0 	0 	0 n	: 	: 	: 
A,TOTAL,GT15,TOTAL,THS_T,IT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,GT15,TOTAL,THS_T,RO	: 	0 n	0 n	1 	0 n	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 
A,TOTAL,GT16,TOTAL,THS_T,AT	: 	14 	13 	5 	5 	7 	11 	4 	7 	10 	17 	10 	8 	8 	9 	3 
A,TOTAL,GT16,TOTAL,THS_T,BE	12122 	11871 	5833 	3738 	4000 	720 	1176 	2163 	13024 	16102 	17193 	1237 b	1376 	1413 	1320 	988 
A,TOTAL,GT16,TOTAL,THS_T,BG	: 	0 n	7 	8 	16 	7 	2 	4 	4 	4 	2 	3 	3 	3 	2 	5 
A,TOTAL,GT16,TOTAL,THS_T,CZ	: 	8 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT16,TOTAL,THS_T,DE	1406 	1374 	1516 	1757 	1394 	1422 	1394 	1637 	1690 	1640 	1666 	1578 	1451 	1347 	1361 	1148 
A,TOTAL,GT16,TOTAL,THS_T,EU15	: 	12396 	7649 	6048 	5897 	4649 	4663 	5963 	15663 	18739 	19790 	4863 	4580 	: 	: 	: 
A,TOTAL,GT16,TOTAL,THS_T,EU25	: 	12394 	7650 	6050 	5907 	4653 	4673 	5968 	15666 	18741 	19794 	4865 	4582 	: 	: 	: 
A,TOTAL,GT16,TOTAL,THS_T,EU27_2007	: 	12398 	7654 	6055 	5916 	4657 	4672 	5970 	15667 	18746 	19796 	4865 	4582 	: 	: 	: 
A,TOTAL,GT16,TOTAL,THS_T,EU27_2020	: 	12398 	7654 	6055 	5916 	4657 	4672 	5970 	15667 	18746 	19796 	4865 	4582 	4702 	4707 	4395 
A,TOTAL,GT16,TOTAL,THS_T,EU28	: 	12398 	7654 	6055 	5916 	4657 	4672 	5970 	15667 	18746 	19796 	4865 	4582 	: 	: 	: 
A,TOTAL,GT16,TOTAL,THS_T,FR	296 	261 	306 	330 	374 	376 	313 	337 	354 	353 	354 	332 	342 	376 	392 	404 
A,TOTAL,GT16,TOTAL,THS_T,HR	: 	: 	: 	2 	10 	3 	8 	5 	3 	4 	2 	2 	2 	3 	2 	5 
A,TOTAL,GT16,TOTAL,THS_T,HU	0 n	0 n	: 	4 	11 	4 	10 	5 	4 	10 	16 	9 	9 	11 	14 	8 
A,TOTAL,GT16,TOTAL,THS_T,IT	: 	: 	: 	: 	46 	170 	70 	80 	140 	154 	175 	95 	100 	299 	347 	399 
A,TOTAL,GT16,TOTAL,THS_T,LU	0 n	: 	: 	: 	: 	0 n	: 	1 	8 	9 	9 	12 	11 	16 	13 	9 
A,TOTAL,GT16,TOTAL,THS_T,NL	2865 	3077 	3294 	3660 	3531 	4487 	4337 	4573 	4396 	3913 	3915 	3804 	3094 	3040 	3163 	3121 
A,TOTAL,GT16,TOTAL,THS_T,PL	: 	: 	1 	: 	: 	: 	: 	: 	0 n	: 	0 n	0 n	0 n	: 	0 n	: 
A,TOTAL,GT16,TOTAL,THS_T,RO	: 	8 	7 	10 	18 	8 	2 	6 	2 	8 	5 	3 	4 	2 	3 	20 
A,TOTAL,GT16,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 
A,TOTAL,GT16,TOTAL,THS_T,SK	: 	9 	59 	17 	1 	: 	2 	3 	0 n	1 	: 	: 	: 	: 	1 	: 
A,TOTAL,GT17,TOTAL,THS_T,AT	: 	: 	: 	: 	: 	5 	11 	8 	7 	5 	6 	19 	5 	14 	15 	12 
A,TOTAL,GT17,TOTAL,THS_T,BE	154 	5 	: 	1 	1 	: 	: 	0 n	1 	1 	2 	: 	: 	: 	: 	: 
A,TOTAL,GT17,TOTAL,THS_T,BG	: 	: 	: 	: 	: 	: 	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT17,TOTAL,THS_T,DE	2 	2 	3 	4 	3 	1 	2 	4 	1 	1 	1 	0 n	1 	0 n	1 	1 
A,TOTAL,GT17,TOTAL,THS_T,EU15	: 	29 	31 	1 	3 	123 	92 	412 	326 	328 	229 	126 	24 	: 	: 	: 
A,TOTAL,GT17,TOTAL,THS_T,EU25	: 	29 	31 	1 	3 	123 	92 	412 	326 	328 	229 	126 	24 	: 	: 	: 
A,TOTAL,GT17,TOTAL,THS_T,EU27_2007	: 	29 	31 	1 	3 	123 	94 	413 	326 	328 	229 	126 	24 	: 	: 	: 
A,TOTAL,GT17,TOTAL,THS_T,EU27_2020	: 	29 	31 	1 	3 	123 	94 	413 	326 	328 	229 	126 	24 	18 	55 	89 
A,TOTAL,GT17,TOTAL,THS_T,EU28	: 	29 	31 	1 	3 	123 	94 	413 	326 	328 	229 	126 	24 	: 	: 	: 
A,TOTAL,GT17,TOTAL,THS_T,FR	: 	6 	2 	3 	3 	1 	8 	18 	11 	28 	19 	8 	2 	2 	: 	: 
A,TOTAL,GT17,TOTAL,THS_T,IT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,GT17,TOTAL,THS_T,NL	30 	27 	34 	: 	: 	122 	89 	413 	327 	330 	215 	127 	24 	17 	54 	87 
A,TOTAL,GT17,TOTAL,THS_T,RO	: 	: 	: 	: 	: 	: 	5 	1 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,BE	2 	13 	: 	: 	: 	: 	: 	: 	1 	0 n	: 	: 	: 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,BG	: 	: 	5 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 
A,TOTAL,GT18,TOTAL,THS_T,CZ	: 	0 n	: 	0 n	: 	1 	1 	0 n	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,DE	: 	: 	: 	: 	7 	: 	: 	0 n	0 n	0 n	10 	0 n	421 	51 	103 	79 
A,TOTAL,GT18,TOTAL,THS_T,EU15	: 	3066 	3190 	2285 	2281 	2339 	2489 	3171 	2996 	2839 	3130 	3073 	4010 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,EU25	: 	3065 	3188 	2282 	2280 	2334 	2487 	3164 	2995 	2838 	3128 	3069 	4010 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,EU27_2007	: 	3065 	3187 	2284 	2280 	2334 	2486 	3162 	2995 	2836 	3128 	3069 	4010 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,EU27_2020	: 	3065 	3187 	2284 	2280 	2334 	2486 	3149 	2995 	2836 	3128 	3054 	4009 	3036 	2526 	2397 
A,TOTAL,GT18,TOTAL,THS_T,EU28	: 	3065 	3187 	2284 	2280 	2334 	2486 	3162 	2995 	2836 	3128 	3069 	4009 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,HR	: 	15 	2 	6 	12 	5 	17 	: 	0 n	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,HU	34 	16 	2 	6 	14 	5 	18 	: 	0 n	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT18,TOTAL,THS_T,IT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 n
A,TOTAL,GT18,TOTAL,THS_T,NL	5344 	5933 	5797 	3323 	3266 	4557 	4736 	5798 	5356 	5429 	5617 	5417 	6241 	4647 	4283 	3394 
