unit,nst07,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
MIO_TKM,GT02,HR	315 	240 	180 	148 	166 	220 	130 	343 	198 	52 	133 	82 	57 	72 	187 
MIO_TKM,GT02,HU	585 	598 	568 	600 	768 	757 	792 	818 	695 	716 	552 	487 	665 	640 	17 
MIO_TKM,GT02,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT02,IT	131 	69 	65 	61 	90 	96 	62 	76 	: c	: c	4 	7 	: c	12 	: c
MIO_TKM,GT02,LT	385 	1047 	1491 	1305 	1903 	1452 	751 	644 	729 	866 	752 	1199 	1365 	1098 	1483 
MIO_TKM,GT02,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT02,LV	1955 	645 	1223 	6455 	8064 	6097 	5212 	6514 	7014 	7653 	8064 	7355 	5123 	6570 	6408 
MIO_TKM,GT02,ME	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT02,MK	2 	8 	6 	3 	5 	0 	3 	10 	29 	41 	47 	30 	29 	22 	: 
MIO_TKM,GT02,NL	1640 	1321 	1234 	1411 	1001 	1094 	1438 	1360 	1548 	1652 	1647 	: c	: c	1108 	1229 
MIO_TKM,GT02,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT02,PL	16224 	13099 	12267 	14786 	15762 	15006 	14149 	14502 	14376 	16487 	14823 	16129 	15765 	15146 	15890 
MIO_TKM,GT02,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT02,RO	1178 	943 	813 	1007 	1484 	1613 	1358 	1491 	1544 	1991 	2721 	2629 	2390 	2478 	2810 
MIO_TKM,GT02,SE	: c	72 	60 	71 	92 	83 	67 	56 	86 	57 	86 	77 	86 	34 	75 
MIO_TKM,GT02,SI	329 	306 	305 	374 	420 	385 	325 	293 	256 	252 	271 	297 	222 	157 	249 
MIO_TKM,GT02,SK	598 	700 	636 	847 	741 	640 	687 	535 	787 	806 	941 	969 	902 	1044 	1084 
MIO_TKM,GT02,TR	1477 	1594 	1442 	1314 	1667 	1273 	1326 	1071 	1330 	1367 	1324 	1131 	818 	946 	1098 
MIO_TKM,GT02,UK	: 	: 	: 	1181 	1953 	1807 	1957 	3807 	8481 	8953 	7597 	6355 	6072 	5473 	7177 
MIO_TKM,GT03,AT	1984 	2043 	1724 	1990 	1861 	1920 	1877 	1777 	1900 	1789 	1599 	1668 	1633 	1247 	: c
MIO_TKM,GT03,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	320 	348 	284 	644 
MIO_TKM,GT03,BG	789 	757 	1001 	776 	897 	890 	734 	829 	319 	267 	312 	336 	374 	554 	786 
MIO_TKM,GT03,CH	334 	351 	336 	419 	553 	594 	725 	676 	671 	610 	616 	650 	623 	600 	580 
MIO_TKM,GT03,CZ	776 	815 	767 	818 	973 	888 	1006 	961 	946 	925 	890 	1018 	966 	919 	1193 
MIO_TKM,GT03,DE	13684 	13553 	11418 	11586 	11082 	11318 	11694 	12505 	12447 	12584 	12302 	13080 	11096 	10055 	12392 
MIO_TKM,GT03,DK	15 	16 	15 	11 	10 	14 	12 	11 	14 	15 	9 	12 	19 	17 	12 
MIO_TKM,GT03,EE	52 	35 	29 	42 	36 	22 	21 	25 	30 	62 	66 	60 	59 	101 	99 
MIO_TKM,GT03,EL	0 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT03,ES	89 	74 	44 	27 	64 	137 	119 	143 	251 	191 	143 	185 	282 	258 	2181 
MIO_TKM,GT03,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT03,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT03,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT03,FI	525 	1897 	2020 	1937 	2669 	2736 	2343 	1721 	2264 	1882 	1470 	1789 	1563 	1349 	1251 
MIO_TKM,GT03,FR	2062 	2279 	1882 	1575 	1607 	1903 	1635 	2145 	2111 	2442 	1983 	2740 	2104 	3175 	4738 
MIO_TKM,GT03,HR	685 	544 	694 	633 	428 	383 	291 	505 	323 	421 	472 	390 	304 	447 	508 
MIO_TKM,GT03,HU	1809 	1562 	1752 	1695 	1944 	3083 	1561 	1604 	1649 	1604 	1509 	1408 	1367 	917 	1014 
MIO_TKM,GT03,IE	17 	21 	23 	12 	25 	24 	28 	25 	30 	30 	30 	31 	31 	58 	65 
MIO_TKM,GT03,IT	651 	690 	572 	630 	628 	644 	642 	891 	991 	598 	912 	965 	822 	788 	: c
MIO_TKM,GT03,LT	1039 	1777 	2014 	1971 	1765 	1328 	1050 	1005 	1322 	1358 	1023 	1265 	1056 	871 	912 
MIO_TKM,GT03,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT03,LV	745 	444 	386 	372 	537 	388 	610 	267 	296 	463 	550 	816 	770 	284 	67 
MIO_TKM,GT03,ME	: 	: 	99 	79 	57 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT03,MK	12 	33 	14 	27 	20 	1 	0 	8 	86 	86 	84 	71 	85 	163 	: 
MIO_TKM,GT03,NL	936 	1060 	972 	1230 	1134 	1128 	1101 	1179 	1118 	1065 	1102 	: c	: c	894 	1421 
MIO_TKM,GT03,NO	989 	1125 	1157 	1068 	1056 	1052 	1037 	929 	1007 	943 	817 	753 	688 	574 	629 
MIO_TKM,GT03,PL	13549 	13077 	12580 	14278 	16990 	14449 	11264 	12416 	12751 	12210 	11766 	15165 	11656 	9228 	11608 
MIO_TKM,GT03,PT	224 	148 	181 	188 	198 	173 	206 	199 	198 	239 	276 	374 	432 	403 	443 
MIO_TKM,GT03,RO	343 	397 	364 	396 	398 	326 	261 	318 	391 	538 	278 	556 	483 	401 	978 
MIO_TKM,GT03,SE	: c	4879 	5020 	4700 	4620 	5111 	4866 	4441 	5642 	5069 	4804 	4744 	4772 	3549 	4483 
MIO_TKM,GT03,SI	730 	865 	663 	729 	643 	704 	648 	715 	758 	705 	597 	699 	639 	486 	735 
