unit,nst07,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
MIO_TKM,GT07,FI	325 	349 	346 	299 	293 	309 	339 	344 	412 	467 	467 	463 	544 	560 	541 
MIO_TKM,GT07,FR	1847 	2050 	1781 	1897 	2428 	2443 	2387 	2387 	2144 	2123 	1787 	1861 	2013 	2328 	2248 
MIO_TKM,GT07,HR	296 	284 	332 	383 	377 	319 	221 	280 	287 	234 	266 	273 	334 	339 	363 
MIO_TKM,GT07,HU	701 	703 	692 	729 	693 	855 	1085 	1056 	1150 	964 	481 	510 	601 	447 	554 
MIO_TKM,GT07,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT07,IT	476 	488 	410 	502 	477 	415 	424 	458 	467 	452 	502 	550 	: c	542 	: c
MIO_TKM,GT07,LT	1890 	2069 	2471 	3202 	3353 	3488 	3643 	3662 	3555 	4000 	4499 	4696 	4368 	4725 	5502 
MIO_TKM,GT07,LU	23 	28 	29 	36 	46 	49 	37 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT07,LV	1159 	2009 	2290 	3470 	4320 	4587 	5503 	7726 	7080 	7514 	7310 	7758 	6371 	7832 	7215 
MIO_TKM,GT07,ME	: 	: 	0 	2 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT07,MK	29 	30 	38 	37 	26 	31 	21 	21 	30 	46 	51 	56 	48 	61 	: 
MIO_TKM,GT07,NL	193 	197 	178 	136 	134 	125 	124 	119 	68 	104 	61 	: c	: c	44 	57 
MIO_TKM,GT07,NO	18 	8 	13 	31 	32 	29 	28 	28 	2 	25 	36 	24 	20 	23 	24 
MIO_TKM,GT07,PL	10752 	10159 	9228 	9429 	9388 	8743 	8564 	7488 	7671 	7465 	7046 	7067 	7410 	6589 	7332 
MIO_TKM,GT07,PT	29 	16 	20 	229 	460 	606 	519 	554 	399 	440 	597 	380 	304 	481 	597 
MIO_TKM,GT07,RO	3978 	3937 	3547 	4014 	3577 	4465 	4586 	4237 	4267 	4371 	4758 	5471 	4480 	3700 	4055 
MIO_TKM,GT07,SE	: c	410 	400 	345 	356 	345 	357 	361 	308 	335 	355 	374 	371 	330 	405 
MIO_TKM,GT07,SI	401 	356 	349 	299 	358 	374 	324 	373 	389 	387 	367 	329 	360 	365 	380 
MIO_TKM,GT07,SK	542 	473 	425 	508 	476 	654 	624 	588 	468 	507 	513 	562 	873 	804 	746 
MIO_TKM,GT07,TR	2078 	1684 	2282 	2802 	2147 	2111 	1671 	1227 	916 	867 	970 	1141 	735 	735 	522 
MIO_TKM,GT07,UK	: 	: 	: 	563 	520 	551 	690 	984 	0 	0 	877 	1252 	967 	1098 	1127 
MIO_TKM,GT08,AT	1105 	1123 	1078 	1129 	1148 	1051 	1043 	1027 	951 	837 	902 	870 	833 	773 	: c
MIO_TKM,GT08,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	775 	843 	688 	702 
MIO_TKM,GT08,BG	1203 	846 	1116 	645 	635 	756 	632 	694 	629 	613 	531 	596 	527 	529 	782 
MIO_TKM,GT08,CH	277 	305 	272 	291 	290 	325 	445 	431 	437 	381 	286 	272 	247 	240 	303 
MIO_TKM,GT08,CZ	826 	995 	945 	877 	1044 	1024 	940 	842 	771 	790 	726 	833 	753 	630 	740 
MIO_TKM,GT08,DE	7621 	8049 	7659 	7403 	8078 	7670 	8182 	9372 	9500 	9747 	9985 	9655 	9165 	7817 	9544 
MIO_TKM,GT08,DK	64 	72 	75 	78 	75 	77 	63 	70 	74 	66 	81 	85 	89 	56 	101 
MIO_TKM,GT08,EE	160 	978 	857 	840 	834 	717 	717 	705 	664 	635 	934 	552 	449 	376 	276 
MIO_TKM,GT08,EL	0 	1 	3 	1 	2 	2 	2 	6 	3 	3 	4 	6 	14 	12 	19 
MIO_TKM,GT08,ES	601 	618 	597 	589 	538 	424 	468 	455 	323 	364 	280 	393 	338 	295 	105 
MIO_TKM,GT08,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT08,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT08,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT08,FI	1373 	1604 	1631 	1469 	1401 	1394 	1133 	1143 	1620 	1632 	1704 	1410 	1196 	1010 	1357 
MIO_TKM,GT08,FR	2133 	2256 	2076 	2187 	2211 	2625 	2672 	2675 	2637 	2480 	2195 	2486 	2713 	2806 	3523 
MIO_TKM,GT08,HR	106 	155 	198 	216 	252 	310 	272 	288 	286 	314 	332 	436 	463 	310 	470 
MIO_TKM,GT08,HU	612 	744 	802 	853 	831 	927 	881 	816 	691 	744 	577 	554 	571 	632 	620 
MIO_TKM,GT08,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT08,IT	1145 	1281 	1311 	1116 	1092 	1092 	1011 	803 	612 	589 	612 	700 	: c	681 	: c
MIO_TKM,GT08,LT	1246 	6350 	6441 	6100 	6184 	5761 	5222 	5544 	5479 	3949 	4675 	5010 	4164 	3112 	3575 
MIO_TKM,GT08,LU	0 	0 	1 	2 	4 	4 	1 	: 	: 	19 	17 	: 	: 	: 	: 
MIO_TKM,GT08,LV	652 	1192 	1273 	1649 	1611 	1486 	1661 	1680 	2248 	1683 	2978 	2940 	1052 	2090 	1527 
MIO_TKM,GT08,ME	: 	: 	7 	8 	7 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT08,MK	26 	29 	18 	26 	27 	19 	15 	17 	19 	13 	9 	12 	16 	16 	: 
MIO_TKM,GT08,NL	485 	503 	540 	447 	350 	552 	508 	488 	390 	391 	387 	: c	: c	430 	433 
MIO_TKM,GT08,NO	0 	14 	1 	1 	16 	1 	1 	1 	2 	2 	18 	18 	15 	19 	19 
MIO_TKM,GT08,PL	3251 	3352 	3299 	3096 	2988 	2816 	2525 	2518 	2654 	2926 	2876 	3059 	2781 	2286 	2899 
MIO_TKM,GT08,PT	62 	48 	58 	61 	57 	59 	55 	63 	46 	45 	40 	28 	26 	47 	54 
MIO_TKM,GT08,RO	572 	1033 	1044 	1153 	1381 	1143 	1032 	956 	1040 	1058 	1166 	1613 	1476 	1090 	1851 
MIO_TKM,GT08,SE	: c	1101 	686 	830 	1143 	746 	857 	933 	841 	890 	1015 	813 	435 	414 	415 
MIO_TKM,GT08,SI	24 	35 	34 	0 	47 	61 	59 	71 	58 	53 	67 	72 	73 	54 	64 
MIO_TKM,GT08,SK	226 	311 	308 	314 	256 	305 	305 	376 	387 	347 	297 	405 	405 	370 	554 
MIO_TKM,GT08,TR	551 	883 	772 	725 	803 	718 	897 	655 	826 	798 	801 	869 	527 	136 	235 
MIO_TKM,GT08,UK	: 	: 	: 	726 	696 	644 	628 	551 	395 	324 	287 	167 	8 	9 	110 
MIO_TKM,GT09,AT	219 	324 	355 	245 	250 	247 	270 	301 	302 	263 	241 	263 	325 	312 	: c
MIO_TKM,GT09,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	84 	91 	74 	114 
MIO_TKM,GT09,BG	247 	378 	241 	199 	231 	190 	197 	207 	120 	111 	116 	54 	46 	72 	187 
MIO_TKM,GT09,CH	213 	224 	221 	222 	249 	258 	280 	281 	311 	281 	290 	280 	282 	272 	293 
MIO_TKM,GT09,CZ	400 	365 	364 	354 	331 	333 	283 	308 	269 	243 	249 	319 	320 	357 	548 
MIO_TKM,GT09,DE	2770 	2562 	1999 	2062 	2164 	2324 	2373 	2606 	2479 	2517 	2447 	2416 	2404 	2746 	2582 
MIO_TKM,GT09,DK	41 	52 	71 	47 	69 	73 	73 	32 	37 	24 	33 	33 	21 	11 	23 
MIO_TKM,GT09,EE	7 	6 	3 	21 	185 	93 	26 	38 	85 	94 	95 	88 	62 	57 	121 
MIO_TKM,GT09,EL	19 	21 	18 	16 	15 	16 	15 	22 	25 	18 	16 	56 	109 	102 	150 
MIO_TKM,GT09,ES	153 	153 	136 	141 	152 	218 	210 	261 	345 	237 	223 	255 	354 	454 	63 
MIO_TKM,GT09,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT09,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT09,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT09,FI	3 	8 	12 	8 	12 	25 	50 	28 	28 	40 	24 	27 	36 	37 	35 
MIO_TKM,GT09,FR	2260 	2276 	1446 	2457 	1946 	1858 	1935 	1830 	1742 	1706 	2617 	2407 	2836 	1767 	1855 
MIO_TKM,GT09,HR	128 	106 	81 	84 	73 	77 	75 	36 	103 	113 	125 	161 	164 	171 	236 
MIO_TKM,GT09,HU	168 	144 	145 	153 	173 	202 	151 	239 	90 	95 	79 	87 	99 	155 	752 
MIO_TKM,GT09,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	16 
MIO_TKM,GT09,IT	533 	209 	197 	197 	217 	233 	208 	202 	235 	168 	202 	226 	: c	179 	: c
MIO_TKM,GT09,LT	369 	452 	425 	458 	453 	441 	404 	281 	319 	332 	312 	315 	301 	215 	426 
MIO_TKM,GT09,LU	5 	7 	8 	11 	8 	8 	10 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT09,LV	107 	65 	48 	35 	49 	31 	31 	23 	32 	33 	36 	29 	1576 	36 	1860 
MIO_TKM,GT09,ME	: 	: 	0 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT09,MK	1 	1 	1 	3 	4 	3 	4 	4 	6 	7 	7 	7 	8 	10 	: 
MIO_TKM,GT09,NL	48 	59 	47 	73 	145 	128 	100 	122 	101 	92 	148 	: c	: c	76 	101 
MIO_TKM,GT09,NO	3 	4 	17 	13 	10 	4 	3 	1 	4 	5 	4 	2 	0 	0 	0 
MIO_TKM,GT09,PL	742 	845 	775 	754 	918 	940 	750 	774 	936 	870 	953 	1118 	1145 	1206 	1546 
MIO_TKM,GT09,PT	123 	74 	90 	82 	86 	83 	197 	264 	259 	251 	275 	320 	395 	332 	396 
MIO_TKM,GT09,RO	865 	1034 	897 	803 	587 	581 	736 	763 	552 	441 	469 	402 	209 	160 	500 
MIO_TKM,GT09,SE	: c	137 	110 	65 	105 	139 	142 	115 	126 	158 	190 	176 	202 	267 	238 
MIO_TKM,GT09,SI	33 	33 	31 	37 	40 	31 	35 	37 	30 	26 	34 	35 	45 	58 	89 
MIO_TKM,GT09,SK	97 	65 	55 	64 	73 	66 	57 	96 	77 	66 	51 	64 	75 	96 	222 
MIO_TKM,GT09,TR	1587 	1356 	1125 	737 	912 	795 	741 	652 	764 	772 	991 	1221 	703 	611 	710 
MIO_TKM,GT09,UK	: 	: 	: 	3701 	3955 	4735 	4410 	3506 	1921 	1992 	2707 	2542 	1214 	1230 	2839 
MIO_TKM,GT10,AT	1752 	1709 	1514 	1610 	1977 	1959 	1776 	1648 	1629 	1536 	1346 	1424 	1291 	1081 	: c
MIO_TKM,GT10,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	1528 	1662 	1357 	2299 
MIO_TKM,GT10,BG	401 	392 	420 	305 	245 	225 	215 	216 	219 	212 	479 	635 	529 	491 	851 
MIO_TKM,GT10,CH	958 	1013 	790 	855 	951 	880 	878 	896 	869 	452 	476 	479 	569 	403 	782 
MIO_TKM,GT10,CZ	1176 	1266 	1114 	1177 	1463 	1364 	1279 	1191 	1326 	1402 	1465 	1493 	1407 	1103 	1319 
MIO_TKM,GT10,DE	10547 	11166 	9461 	10596 	11671 	12062 	11526 	12335 	12311 	12392 	13081 	14362 	13083 	10309 	15568 
MIO_TKM,GT10,DK	354 	363 	338 	359 	417 	442 	382 	369 	286 	255 	302 	305 	250 	99 	287 
MIO_TKM,GT10,EE	35 	44 	30 	37 	49 	48 	43 	30 	42 	47 	70 	86 	83 	86 	183 
MIO_TKM,GT10,EL	23 	28 	44 	48 	37 	53 	48 	31 	75 	68 	66 	108 	112 	90 	184 
MIO_TKM,GT10,ES	1986 	2253 	1708 	2298 	2438 	1766 	1669 	1733 	1566 	1547 	1142 	1330 	1361 	1106 	1 
MIO_TKM,GT10,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT10,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT10,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT10,FI	747 	908 	849 	767 	902 	957 	844 	778 	714 	751 	835 	867 	891 	704 	1030 
MIO_TKM,GT10,FR	4608 	4995 	3967 	4379 	4679 	4862 	4800 	4807 	4646 	4139 	4258 	4691 	4329 	4037 	6247 
MIO_TKM,GT10,HR	122 	134 	106 	155 	182 	135 	185 	187 	206 	221 	226 	256 	281 	333 	409 
MIO_TKM,GT10,HU	369 	451 	407 	557 	800 	870 	1064 	818 	1168 	1398 	1028 	876 	589 	701 	970 
MIO_TKM,GT10,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT10,IT	2631 	2940 	2370 	2964 	3533 	3859 	3929 	2669 	2727 	2755 	2180 	2489 	2448 	2189 	: c
MIO_TKM,GT10,LT	300 	530 	556 	702 	1039 	925 	846 	1050 	714 	685 	827 	878 	512 	336 	891 
MIO_TKM,GT10,LU	115 	125 	118 	140 	157 	150 	151 	: 	: 	30 	28 	: 	: 	: 	: 
MIO_TKM,GT10,LV	285 	192 	170 	420 	452 	613 	611 	429 	481 	545 	532 	676 	849 	607 	930 
MIO_TKM,GT10,ME	: 	: 	1 	11 	7 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT10,MK	47 	62 	51 	71 	60 	66 	69 	61 	68 	49 	62 	99 	104 	1 	: 
MIO_TKM,GT10,NL	352 	442 	379 	447 	541 	470 	465 	412 	376 	352 	296 	: c	: c	244 	327 
MIO_TKM,GT10,NO	0 	0 	0 	1 	2 	2 	3 	8 	5 	33 	20 	22 	0 	0 	0 
MIO_TKM,GT10,PL	2519 	2118 	1959 	2072 	2599 	2446 	2213 	1882 	1920 	1772 	2173 	1963 	1866 	1909 	3420 
MIO_TKM,GT10,PT	211 	139 	170 	225 	211 	198 	261 	219 	187 	172 	130 	118 	107 	69 	102 
MIO_TKM,GT10,RO	944 	868 	781 	794 	1074 	930 	841 	841 	1013 	917 	792 	826 	618 	396 	1279 
MIO_TKM,GT10,SE	: c	3401 	2957 	2871 	3233 	3317 	3247 	3118 	2603 	3127 	2851 	3562 	4030 	2912 	4016 
MIO_TKM,GT10,SI	231 	218 	217 	339 	405 	392 	372 	335 	366 	356 	270 	320 	268 	261 	393 
MIO_TKM,GT10,SK	519 	686 	519 	622 	742 	906 	884 	857 	811 	750 	850 	893 	1025 	706 	1278 
MIO_TKM,GT10,TR	1646 	1581 	1389 	974 	680 	694 	826 	762 	624 	695 	930 	885 	520 	585 	362 
MIO_TKM,GT10,UK	: 	: 	: 	995 	918 	955 	942 	1483 	1513 	1694 	1482 	2199 	1442 	1189 	1409 
MIO_TKM,GT11,AT	129 	130 	154 	128 	172 	190 	136 	56 	60 	66 	63 	71 	68 	81 	: c
MIO_TKM,GT11,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	3 	4 	3 	16 
MIO_TKM,GT11,BG	8 	52 	60 	10 	11 	11 	27 	19 	10 	13 	16 	24 	16 	12 	23 
MIO_TKM,GT11,CH	8 	7 	5 	4 	4 	4 	5 	9 	10 	15 	7 	7 	10 	18 	31 
MIO_TKM,GT11,CZ	15 	24 	16 	13 	6 	7 	7 	7 	8 	10 	12 	14 	12 	17 	22 
MIO_TKM,GT11,DE	217 	216 	180 	293 	323 	367 	336 	478 	447 	376 	381 	392 	408 	386 	671 
MIO_TKM,GT11,DK	14 	16 	15 	16 	18 	19 	16 	17 	16 	11 	9 	10 	10 	4 	6 
MIO_TKM,GT11,EE	11 	12 	15 	14 	14 	14 	13 	11 	18 	18 	14 	12 	7 	9 	11 
MIO_TKM,GT11,EL	0 	0 	0 	1 	1 	1 	2 	4 	5 	5 	4 	10 	13 	11 	17 
MIO_TKM,GT11,ES	2 	2 	1 	1 	2 	2 	2 	2 	4 	3 	1 	1 	1 	0 	14 
MIO_TKM,GT11,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT11,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT11,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT11,FI	19 	36 	22 	18 	17 	15 	15 	16 	12 	14 	17 	20 	16 	20 	38 
MIO_TKM,GT11,FR	26 	22 	15 	12 	20 	30 	46 	48 	57 	33 	49 	55 	50 	41 	104 
MIO_TKM,GT11,HR	9 	8 	24 	10 	5 	5 	8 	5 	6 	8 	6 	7 	9 	10 	13 
MIO_TKM,GT11,HU	23 	112 	46 	57 	74 	369 	80 	66 	88 	96 	48 	72 	54 	54 	19 
MIO_TKM,GT11,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT11,IT	76 	87 	91 	82 	56 	72 	53 	40 	26 	107 	113 	112 	: c	62 	: c
MIO_TKM,GT11,LT	34 	111 	58 	35 	35 	31 	25 	24 	27 	29 	31 	42 	39 	28 	58 
MIO_TKM,GT11,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	38 	44 	: 	: 	: 	: 
MIO_TKM,GT11,LV	17 	19 	12 	24 	34 	25 	29 	24 	29 	29 	31 	22 	19 	20 	24 
MIO_TKM,GT11,ME	: 	: 	9 	15 	22 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT11,MK	0 	0 	0 	1 	2 	2 	2 	2 	3 	3 	3 	4 	4 	6 	: 
MIO_TKM,GT11,NL	2 	2 	2 	3 	2 	2 	2 	2 	2 	2 	3 	: c	: c	5 	7 
MIO_TKM,GT11,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT11,PL	46 	82 	60 	57 	51 	57 	41 	48 	64 	137 	69 	46 	34 	75 	122 
MIO_TKM,GT11,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT11,RO	11 	10 	4 	16 	7 	110 	98 	27 	35 	7 	2 	22 	3 	5 	14 
MIO_TKM,GT11,SE	: c	44 	12 	8 	30 	31 	30 	37 	36 	34 	48 	44 	44 	51 	50 
MIO_TKM,GT11,SI	3 	4 	3 	5 	5 	5 	7 	8 	7 	7 	7 	8 	8 	9 	17 
MIO_TKM,GT11,SK	0 	1 	1 	1 	1 	2 	3 	3 	3 	6 	10 	13 	10 	11 	24 
MIO_TKM,GT11,TR	151 	138 	87 	58 	77 	62 	74 	66 	76 	77 	67 	58 	18 	15 	13 
MIO_TKM,GT11,UK	: 	: 	: 	0 	0 	75 	74 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT12,AT	1073 	987 	1210 	1329 	1119 	1209 	1439 	1468 	1298 	1041 	1031 	1080 	1042 	980 	: c
MIO_TKM,GT12,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	134 	146 	119 	185 
MIO_TKM,GT12,BG	22 	73 	39 	21 	17 	23 	23 	30 	31 	34 	41 	66 	71 	29 	63 
MIO_TKM,GT12,CH	142 	157 	156 	204 	203 	214 	206 	188 	573 	170 	177 	195 	222 	187 	238 
MIO_TKM,GT12,CZ	387 	482 	549 	679 	801 	613 	709 	741 	571 	476 	413 	362 	337 	313 	185 
MIO_TKM,GT12,DE	4244 	4165 	4277 	6527 	6972 	4453 	4731 	6452 	5592 	5255 	5298 	4654 	4381 	3594 	4422 
MIO_TKM,GT12,DK	82 	85 	81 	77 	51 	35 	30 	27 	26 	23 	20 	21 	24 	9 	38 
MIO_TKM,GT12,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	5 	2 	4 	2 	5 
MIO_TKM,GT12,EL	0 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT12,ES	335 	282 	370 	529 	556 	823 	923 	952 	816 	681 	594 	704 	650 	646 	2985 
MIO_TKM,GT12,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT12,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT12,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT12,FI	22 	21 	20 	18 	18 	15 	12 	17 	37 	125 	116 	173 	307 	364 	415 
MIO_TKM,GT12,FR	476 	478 	672 	1266 	1922 	1845 	2310 	1504 	1778 	1667 	1270 	1040 	941 	1127 	1720 
MIO_TKM,GT12,HR	4 	4 	3 	6 	7 	10 	12 	11 	18 	22 	8 	13 	17 	19 	17 
MIO_TKM,GT12,HU	693 	676 	614 	459 	462 	313 	230 	196 	131 	144 	100 	111 	135 	128 	293 
MIO_TKM,GT12,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT12,IT	1361 	1038 	854 	930 	866 	639 	611 	519 	469 	481 	497 	490 	506 	572 	: c
MIO_TKM,GT12,LT	44 	100 	100 	117 	105 	87 	57 	55 	110 	133 	136 	126 	107 	81 	128 
MIO_TKM,GT12,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT12,LV	29 	38 	57 	48 	34 	27 	26 	30 	45 	42 	36 	41 	34 	34 	44 
MIO_TKM,GT12,ME	: 	: 	5 	0 	3 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT12,MK	1 	1 	0 	0 	1 	1 	0 	1 	0 	0 	1 	2 	2 	4 	: 
MIO_TKM,GT12,NL	164 	178 	197 	243 	201 	265 	107 	192 	101 	127 	135 	: c	: c	93 	101 
MIO_TKM,GT12,NO	8 	8 	8 	7 	7 	7 	7 	1 	9 	3 	81 	9 	0 	0 	0 
MIO_TKM,GT12,PL	357 	386 	410 	488 	386 	266 	192 	225 	274 	298 	259 	250 	187 	193 	380 
MIO_TKM,GT12,PT	9 	2 	2 	1 	4 	4 	0 	1 	2 	2 	4 	9 	9 	6 	13 
MIO_TKM,GT12,RO	122 	88 	101 	168 	270 	248 	212 	52 	124 	186 	112 	101 	69 	54 	68 
MIO_TKM,GT12,SE	: c	487 	394 	423 	458 	867 	490 	483 	364 	389 	544 	397 	334 	280 	393 
MIO_TKM,GT12,SI	114 	117 	104 	86 	84 	95 	101 	75 	61 	38 	29 	29 	55 	46 	89 
MIO_TKM,GT12,SK	71 	77 	92 	93 	50 	70 	75 	65 	60 	76 	73 	61 	47 	42 	64 
MIO_TKM,GT12,TR	148 	154 	124 	215 	290 	198 	102 	114 	129 	138 	122 	251 	14 	0 	0 
MIO_TKM,GT12,UK	: 	: 	: 	129 	146 	169 	188 	136 	62 	108 	97 	93 	0 	0 	0 
MIO_TKM,GT13,AT	3 	3 	3 	5 	9 	8 	8 	8 	7 	8 	7 	8 	5 	4 	: c
MIO_TKM,GT13,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	0 	0 	0 	0 
MIO_TKM,GT13,BG	50 	2 	1 	1 	1 	0 	1 	1 	0 	0 	0 	0 	0 	0 	1 
MIO_TKM,GT13,CH	4 	3 	4 	5 	7 	5 	7 	8 	6 	5 	3 	3 	1 	1 	1 
MIO_TKM,GT13,CZ	0 	0 	0 	2 	3 	1 	0 	0 	0 	0 	0 	1 	5 	8 	1 
MIO_TKM,GT13,DE	7 	9 	12 	11 	8 	7 	17 	45 	38 	116 	42 	22 	31 	333 	194 
MIO_TKM,GT13,DK	1 	0 	0 	0 	0 	0 	1 	1 	1 	2 	3 	3 	2 	2 	3 
MIO_TKM,GT13,EE	1 	0 	0 	1 	3 	5 	2 	5 	9 	5 	3 	4 	1 	0 	0 
MIO_TKM,GT13,EL	0 	0 	0 	1 	1 	1 	4 	1 	2 	1 	2 	3 	8 	11 	33 
MIO_TKM,GT13,ES	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT13,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT13,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT13,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT13,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
MIO_TKM,GT13,FR	6 	1 	3 	1 	0 	0 	266 	136 	55 	45 	49 	0 	0 	5 	15 
MIO_TKM,GT13,HR	2 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
MIO_TKM,GT13,HU	0 	1 	1 	2 	1 	27 	4 	4 	6 	12 	1 	2 	4 	3 	814 
MIO_TKM,GT13,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT13,IT	54 	65 	45 	52 	64 	59 	65 	: c	: c	325 	47 	44 	: c	6 	: c
MIO_TKM,GT13,LT	23 	22 	12 	10 	9 	8 	5 	4 	6 	5 	5 	5 	3 	2 	7 
MIO_TKM,GT13,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	111 	123 	: 	: 	: 	: 
MIO_TKM,GT13,LV	5 	6 	11 	6 	4 	3 	4 	8 	5 	4 	7 	3 	3 	3 	1 
MIO_TKM,GT13,ME	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT13,MK	0 	0 	0 	1 	0 	0 	0 	1 	1 	1 	1 	2 	3 	0 	: 
MIO_TKM,GT13,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: c	: c	0 	0 
MIO_TKM,GT13,NO	0 	0 	0 	0 	0 	32 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT13,PL	2 	2 	355 	116 	84 	28 	35 	30 	163 	164 	39 	31 	28 	42 	60 
MIO_TKM,GT13,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	6 	0 	0 
MIO_TKM,GT13,RO	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT13,SE	: c	2 	0 	0 	13 	11 	21 	27 	24 	21 	100 	29 	25 	52 	61 
MIO_TKM,GT13,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT13,SK	0 	0 	0 	2 	2 	2 	0 	1 	2 	2 	2 	2 	9 	6 	5 
