freq,unit,nst07,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_T,GT07,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT07,IT	: c	2071 	: c	2016 	1968 	1939 	2176 	2153 	1821 	1721 	1962 	2023 	1507 	1672 	1668 
A,THS_T,GT07,LT	20164 	16727 	16064 	16992 	16683 	15506 	13062 	13940 	13847 	13331 	12963 	12609 	10052 	9311 	9448 
A,THS_T,GT07,LU	: 	: 	: 	: 	0 	0 	: 	: 	575 	768 	730 	708 	534 	518 	476 
A,THS_T,GT07,LV	19706 	20941 	17691 	20465 	18372 	21732 	21293 	21764 	16624 	13014 	11182 	9398 	6567 	6180 	4075 
A,THS_T,GT07,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	32 	26 	20 	0 	: 	: 
A,THS_T,GT07,MK	: 	355 	289 	298 	278 	240 	217 	173 	137 	151 	131 	191 	187 	145 	143 
A,THS_T,GT07,NL	337 	291 	: c	: c	349 	660 	441 	655 	723 	713 	676 	764 	922 	1010 	1066 
A,THS_T,GT07,NO	444 	442 	383 	420 	682 	487 	21 	516 	526 	525 	621 	611 	244 	145 	343 
A,THS_T,GT07,PL	24841 	21487 	25096 	22783 	22183 	22647 	21656 	22138 	26165 	27391 	27750 	27419 	25336 	28481 	30077 
A,THS_T,GT07,PT	1941 	1506 	1010 	1244 	1824 	1345 	1275 	1680 	1642 	1851 	1439 	770 	94 	101 	151 
A,THS_T,GT07,RO	12456 	11953 	12470 	12428 	13529 	12822 	14568 	15155 	15718 	16051 	13456 	14824 	11435 	12806 	11588 
A,THS_T,GT07,SE	1524 	1308 	1419 	1469 	1409 	1449 	1396 	1437 	1491 	1421 	1415 	1375 	1283 	1158 	: c
A,THS_T,GT07,SI	1813 	1746 	1758 	1640 	1713 	1819 	1818 	1732 	1536 	1684 	1627 	1391 	1533 	1577 	1745 
A,THS_T,GT07,SK	4197 	4277 	4425 	3929 	3557 	3855 	3092 	3122 	3710 	3963 	3354 	3549 	3249 	3198 	3093 
A,THS_T,GT07,TR	864 	1246 	1248 	2133 	1674 	1340 	1474 	1998 	2139 	2239 	2453 	3003 	2518 	2534 	3090 
A,THS_T,GT07,UK	6211 	5818 	5352 	5369 	6564 	0 	0 	4149 	3649 	3214 	3343 	3412 	: 	: 	: 
A,THS_T,GT08,AT	: c	3541 	3739 	3776 	3993 	3768 	4104 	4220 	4305 	4476 	4647 	4709 	4472 	4636 	4436 
A,THS_T,GT08,BE	3778 	3713 	4723 	4260 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT08,BG	2466 	1502 	1582 	1792 	1570 	1676 	1729 	2121 	1811 	2328 	2105 	2035 	4682 	2700 	5462 
A,THS_T,GT08,CH	2327 	1846 	2006 	2283 	2240 	2479 	2678 	2655 	2720 	2867 	2105 	2095 	2384 	2101 	1926 
A,THS_T,GT08,CZ	4030 	3465 	3859 	4115 	3605 	3858 	4060 	4096 	4459 	4829 	5315 	4540 	4674 	5134 	4392 
A,THS_T,GT08,DE	30077 	26329 	30119 	30603 	32041 	30514 	29649 	29638 	26314 	25480 	26445 	24319 	24824 	25505 	23589 
A,THS_T,GT08,DK	325 	194 	290 	273 	252 	209 	255 	243 	207 	249 	249 	268 	252 	230 	195 
A,THS_T,GT08,EE	1457 	1935 	2615 	3283 	4867 	4078 	4563 	4771 	5316 	5389 	6445 	7483 	7802 	12604 	2562 
A,THS_T,GT08,EL	66 	33 	46 	39 	17 	17 	18 	23 	9 	10 	11 	6 	16 	2 	1 
A,THS_T,GT08,ES	356 	900 	972 	963 	778 	1103 	1315 	1337 	1215 	1176 	1692 	1808 	1916 	1964 	1785 
A,THS_T,GT08,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT08,FI	5131 	3790 	4457 	5062 	6418 	6101 	6054 	4695 	4593 	5748 	6055 	6525 	7128 	6517 	5319 
A,THS_T,GT08,FR	9965 	7576 	7810 	6921 	5975 	6510 	6729 	7800 	7252 	8260 	5282 	5524 	6134 	5963 	5354 
A,THS_T,GT08,HR	1742 	1301 	1608 	1473 	1306 	1255 	1113 	1308 	851 	999 	883 	797 	712 	590 	419 
A,THS_T,GT08,HU	3142 	3053 	2951 	2904 	2855 	3613 	3449 	3943 	3962 	4284 	4047 	4333 	3506 	3334 	2904 
A,THS_T,GT08,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT08,IT	: c	1792 	: c	2708 	2424 	2095 	2263 	2845 	3620 	3386 	3165 	3235 	3872 	3660 	3838 
A,THS_T,GT08,LT	11401 	9487 	12149 	13996 	13319 	11242 	14779 	15110 	14110 	15490 	16289 	16368 	17180 	16896 	4223 
A,THS_T,GT08,LU	: 	: 	: 	: 	207 	127 	: 	: 	38 	105 	110 	42 	33 	0 	0 
A,THS_T,GT08,LV	3050 	6660 	2417 	8993 	10052 	4755 	6724 	5899 	5517 	4878 	5080 	4948 	3948 	3884 	2361 
A,THS_T,GT08,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	85 	60 	67 	63 	: 	: 
A,THS_T,GT08,MK	: 	73 	79 	57 	44 	64 	89 	83 	81 	86 	114 	110 	78 	122 	107 
A,THS_T,GT08,NL	2952 	3173 	: c	: c	2900 	2882 	2936 	3340 	3261 	3637 	2483 	3117 	3679 	3369 	3317 
A,THS_T,GT08,NO	40 	39 	31 	56 	59 	23 	28 	24 	25 	23 	52 	14 	12 	35 	4 
A,THS_T,GT08,PL	8269 	6804 	8171 	9073 	8800 	8944 	8119 	7663 	7690 	8605 	9001 	9823 	10317 	10627 	9912 
A,THS_T,GT08,PT	210 	196 	106 	112 	157 	153 	162 	225 	208 	209 	200 	210 	201 	216 	218 
A,THS_T,GT08,RO	4585 	2977 	3822 	4009 	2766 	2556 	2648 	2307 	2316 	2931 	3121 	2892 	2663 	2528 	1350 
A,THS_T,GT08,SE	816 	774 	863 	1242 	1310 	1280 	1260 	1290 	1285 	1202 	1528 	1213 	1297 	1551 	: c
A,THS_T,GT08,SI	390 	351 	424 	342 	306 	263 	263 	306 	255 	275 	218 	0 	143 	145 	119 
A,THS_T,GT08,SK	3228 	2350 	2519 	2626 	1942 	2315 	2519 	3120 	2263 	2346 	1794 	2200 	2139 	2093 	1648 
A,THS_T,GT08,TR	311 	174 	1447 	2307 	2420 	2267 	2651 	2258 	2796 	2775 	3190 	2356 	1920 	2141 	1694 
A,THS_T,GT08,UK	419 	159 	154 	881 	571 	1300 	2773 	3589 	3096 	2925 	3315 	4117 	: 	: 	: 
A,THS_T,GT09,AT	: c	1486 	1333 	1086 	926 	1327 	1628 	1585 	1559 	1517 	1540 	1670 	1883 	1863 	1565 
A,THS_T,GT09,BE	1277 	802 	1020 	920 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT09,BG	746 	303 	185 	186 	369 	356 	352 	803 	781 	780 	921 	790 	954 	1490 	1049 
A,THS_T,GT09,CH	2548 	2357 	2560 	2446 	2318 	2275 	2266 	2147 	2138 	2120 	2114 	1936 	1860 	1898 	1798 
A,THS_T,GT09,CZ	2276 	1736 	1641 	1595 	1277 	1228 	1332 	1522 	1455 	1663 	1742 	1793 	1996 	2243 	2487 
A,THS_T,GT09,DE	11021 	11684 	11204 	11370 	10768 	11264 	11627 	12793 	11406 	11511 	11057 	10495 	8885 	10365 	10895 
A,THS_T,GT09,DK	105 	75 	136 	204 	196 	109 	235 	209 	359 	362 	351 	346 	444 	392 	332 
A,THS_T,GT09,EE	1331 	825 	832 	1058 	1230 	1191 	1080 	459 	313 	990 	1396 	207 	31 	34 	38 
A,THS_T,GT09,EL	491 	410 	378 	236 	67 	70 	110 	103 	77 	79 	72 	61 	66 	119 	86 
A,THS_T,GT09,ES	213 	1973 	1588 	1417 	1345 	1239 	1379 	981 	860 	932 	796 	784 	761 	842 	934 
A,THS_T,GT09,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT09,FI	120 	109 	113 	108 	108 	115 	100 	99 	190 	101 	58 	57 	71 	53 	11 
A,THS_T,GT09,FR	7428 	7196 	12505 	9663 	9903 	7053 	6483 	6900 	6441 	7605 	7708 	10140 	6599 	9233 	9867 
A,THS_T,GT09,HR	633 	465 	408 	448 	336 	324 	286 	163 	345 	347 	330 	299 	229 	273 	363 
A,THS_T,GT09,HU	6405 	758 	477 	397 	383 	503 	543 	893 	785 	973 	922 	861 	1011 	1044 	792 
A,THS_T,GT09,IE	108 	33 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT09,IT	: c	587 	: c	717 	954 	1997 	2062 	1326 	1546 	1543 	1529 	802 	1419 	1593 	3484 
A,THS_T,GT09,LT	1805 	909 	1241 	1319 	1262 	1399 	1401 	1263 	1717 	1945 	2018 	2116 	1913 	2096 	1681 
A,THS_T,GT09,LU	: 	: 	: 	: 	0 	0 	: 	: 	866 	604 	582 	868 	825 	723 	540 
A,THS_T,GT09,LV	7005 	184 	5204 	106 	130 	119 	118 	81 	104 	105 	166 	120 	188 	307 	236 
A,THS_T,GT09,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	5 	10 	0 	: 	: 
A,THS_T,GT09,MK	: 	45 	38 	34 	34 	32 	29 	19 	16 	14 	20 	13 	5 	4 	3 
A,THS_T,GT09,NL	382 	349 	: c	: c	538 	459 	420 	526 	436 	888 	969 	711 	397 	531 	393 
A,THS_T,GT09,NO	0 	0 	0 	22 	59 	92 	85 	5 	71 	73 	548 	641 	721 	210 	164 
A,THS_T,GT09,PL	4893 	4074 	3779 	3882 	3069 	2749 	2904 	2476 	2376 	3119 	3190 	2718 	3170 	3387 	2947 
A,THS_T,GT09,PT	2050 	1820 	2145 	1793 	1666 	1678 	1943 	1891 	1072 	637 	579 	610 	689 	741 	782 
A,THS_T,GT09,RO	1440 	497 	457 	1449 	1070 	1196 	1360 	1693 	1647 	1094 	1899 	2848 	2770 	3017 	2675 
A,THS_T,GT09,SE	568 	592 	552 	499 	486 	479 	361 	339 	377 	341 	330 	212 	383 	399 	: c
A,THS_T,GT09,SI	492 	336 	271 	197 	186 	143 	168 	203 	187 	165 	222 	202 	168 	188 	170 
A,THS_T,GT09,SK	1172 	549 	430 	359 	286 	465 	470 	618 	611 	649 	803 	454 	492 	606 	969 
A,THS_T,GT09,TR	1488 	1014 	1224 	2784 	2425 	2115 	2378 	2267 	2381 	2739 	3331 	3347 	4071 	5117 	5475 
A,THS_T,GT09,UK	22031 	12914 	12988 	15342 	22523 	15231 	17852 	20560 	19555 	19218 	16048 	13380 	: 	: 	: 
A,THS_T,GT10,AT	: c	5309 	6434 	7080 	6631 	7258 	7652 	7775 	7988 	8801 	8889 	7364 	6489 	7877 	7775 
A,THS_T,GT10,BE	20551 	10014 	12738 	11490 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT10,BG	3315 	1839 	2056 	2518 	1785 	763 	784 	819 	764 	870 	940 	951 	1288 	1278 	1170 
A,THS_T,GT10,CH	3845 	2231 	3037 	2847 	2686 	2564 	3846 	3881 	3824 	3808 	4071 	3707 	3423 	4258 	4037 
A,THS_T,GT10,CZ	6821 	5015 	6660 	6672 	6426 	6259 	6260 	5900 	6531 	6705 	7271 	6039 	5692 	6314 	5499 
A,THS_T,GT10,DE	66963 	45194 	62319 	67693 	64238 	61023 	59906 	59098 	57514 	58764 	57116 	51588 	47302 	57225 	52392 
A,THS_T,GT10,DK	1225 	398 	982 	1179 	1116 	959 	1054 	1272 	1344 	1503 	1411 	1317 	1286 	1376 	1275 
A,THS_T,GT10,EE	832 	424 	404 	388 	338 	221 	202 	138 	189 	231 	197 	156 	128 	181 	472 
A,THS_T,GT10,EL	1095 	829 	1075 	985 	768 	709 	820 	261 	242 	239 	267 	331 	254 	296 	218 
A,THS_T,GT10,ES	4 	2233 	2733 	2744 	2313 	3046 	3096 	3330 	3147 	3318 	4635 	4212 	3238 	4029 	3852 
A,THS_T,GT10,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT10,FI	2769 	1943 	2393 	2298 	2137 	1994 	1841 	1972 	2325 	2797 	2524 	1937 	2164 	2282 	1810 
A,THS_T,GT10,FR	18257 	12489 	14497 	14865 	13670 	14574 	15359 	16200 	15106 	15169 	13893 	12825 	11943 	13810 	12467 
A,THS_T,GT10,HR	1585 	1227 	1157 	1126 	1147 	1158 	1045 	848 	724 	560 	830 	705 	510 	810 	755 
A,THS_T,GT10,HU	4376 	2916 	2677 	4124 	4645 	5397 	4550 	3716 	4066 	4056 	3965 	2563 	2093 	2059 	1819 
A,THS_T,GT10,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT10,IT	: c	8185 	9756 	11805 	10383 	12195 	11749 	11473 	13663 	13363 	11418 	11051 	9857 	11394 	9203 
A,THS_T,GT10,LT	3198 	1227 	2034 	2990 	2800 	2511 	2543 	3303 	2832 	2847 	3205 	2368 	1938 	2028 	1120 
A,THS_T,GT10,LU	: 	: 	: 	: 	573 	583 	: 	: 	2986 	2903 	3063 	2707 	2082 	2105 	1926 
A,THS_T,GT10,LV	2734 	1790 	2647 	2078 	1763 	1885 	1652 	1257 	1799 	1839 	1521 	1188 	671 	791 	884 
A,THS_T,GT10,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	200 	60 	100 	6 	: 	: 
A,THS_T,GT10,MK	: 	5 	859 	803 	533 	385 	510 	485 	584 	597 	552 	605 	486 	579 	402 
A,THS_T,GT10,NL	2197 	1735 	: c	: c	2046 	2361 	2532 	2884 	3242 	3316 	3199 	2733 	2384 	2781 	2332 
A,THS_T,GT10,NO	0 	0 	0 	113 	114 	983 	64 	131 	38 	26 	14 	13 	20 	16 	19 
A,THS_T,GT10,PL	11072 	6507 	7121 	7409 	7281 	6228 	6768 	6748 	8502 	9415 	10108 	9042 	8892 	9995 	10686 
A,THS_T,GT10,PT	315 	389 	746 	802 	642 	844 	1033 	1211 	1086 	1229 	1156 	1214 	948 	1019 	1179 
A,THS_T,GT10,RO	4573 	2082 	2672 	2912 	1704 	2097 	2377 	2064 	2103 	2491 	3157 	2654 	2159 	2762 	2741 
A,THS_T,GT10,SE	5944 	3833 	5783 	5270 	4031 	5124 	4166 	4768 	4930 	4990 	5096 	4228 	5012 	5770 	: c
A,THS_T,GT10,SI	1624 	1069 	1194 	1332 	1074 	1245 	1273 	1222 	1303 	1413 	1580 	1320 	899 	890 	946 
A,THS_T,GT10,SK	6410 	3812 	4823 	4490 	4591 	4821 	4533 	4173 	4694 	4678 	3827 	3409 	2819 	3629 	3213 
A,THS_T,GT10,TR	564 	884 	832 	1491 	1589 	1342 	1200 	1382 	1420 	1250 	1235 	1496 	1737 	2163 	2041 
A,THS_T,GT10,UK	8950 	6654 	8225 	12731 	8673 	7419 	8698 	8365 	6764 	7407 	7187 	7290 	: 	: 	: 
A,THS_T,GT11,AT	: c	275 	229 	227 	208 	221 	197 	194 	394 	528 	482 	366 	427 	414 	355 
A,THS_T,GT11,BE	75 	20 	26 	23 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT11,BG	80 	44 	59 	86 	61 	48 	36 	63 	87 	40 	41 	36 	243 	211 	29 
A,THS_T,GT11,CH	133 	85 	56 	44 	45 	82 	55 	52 	38 	32 	29 	29 	31 	35 	39 
A,THS_T,GT11,CZ	83 	73 	53 	61 	50 	42 	31 	30 	30 	24 	24 	89 	117 	141 	104 
A,THS_T,GT11,DE	1303 	782 	849 	873 	938 	959 	1109 	1124 	879 	1011 	793 	682 	471 	588 	605 
A,THS_T,GT11,DK	29 	15 	33 	32 	30 	35 	54 	56 	54 	65 	59 	51 	49 	53 	71 
A,THS_T,GT11,EE	40 	34 	29 	46 	57 	107 	73 	54 	59 	56 	60 	54 	56 	47 	40 
A,THS_T,GT11,EL	92 	56 	66 	58 	18 	20 	21 	15 	12 	10 	9 	5 	2 	2 	1 
A,THS_T,GT11,ES	15 	2 	3 	4 	3 	7 	6 	4 	4 	3 	5 	2 	2 	5 	6 
A,THS_T,GT11,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT11,FI	132 	76 	56 	63 	52 	41 	34 	40 	42 	38 	48 	45 	67 	122 	57 
A,THS_T,GT11,FR	219 	110 	122 	135 	124 	99 	127 	100 	87 	85 	67 	45 	52 	57 	56 
A,THS_T,GT11,HR	47 	35 	31 	29 	25 	28 	22 	22 	27 	17 	19 	37 	73 	29 	27 
A,THS_T,GT11,HU	185 	342 	352 	593 	508 	734 	640 	569 	579 	639 	688 	554 	401 	670 	312 
A,THS_T,GT11,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT11,IT	: c	220 	: c	402 	363 	328 	98 	117 	138 	162 	145 	182 	216 	197 	220 
A,THS_T,GT11,LT	171 	82 	108 	118 	88 	84 	79 	65 	69 	89 	106 	107 	195 	432 	120 
A,THS_T,GT11,LU	: 	: 	: 	: 	752 	652 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT11,LV	87 	70 	74 	92 	108 	109 	108 	90 	100 	96 	118 	88 	116 	73 	71 
A,THS_T,GT11,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	192 	126 	78 	: 	: 
A,THS_T,GT11,MK	: 	28 	19 	18 	12 	14 	12 	9 	8 	8 	8 	4 	2 	2 	2 
A,THS_T,GT11,NL	44 	29 	: c	: c	19 	14 	11 	14 	15 	17 	16 	20 	15 	13 	13 
A,THS_T,GT11,NO	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT11,PL	240 	162 	80 	112 	203 	355 	158 	125 	95 	239 	206 	247 	327 	517 	286 
A,THS_T,GT11,PT	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT11,RO	34 	10 	5 	8 	4 	14 	57 	63 	129 	158 	25 	56 	29 	30 	31 
A,THS_T,GT11,SE	90 	96 	88 	95 	95 	69 	78 	76 	62 	60 	56 	31 	67 	111 	: c
A,THS_T,GT11,SI	87 	50 	43 	44 	39 	42 	44 	49 	43 	34 	31 	30 	23 	25 	16 
A,THS_T,GT11,SK	105 	53 	42 	47 	40 	25 	16 	13 	13 	10 	9 	4 	5 	4 	2 
A,THS_T,GT11,TR	15 	17 	17 	145 	221 	324 	336 	286 	369 	389 	443 	471 	586 	700 	772 
A,THS_T,GT11,UK	0 	3 	0 	0 	0 	0 	0 	0 	424 	423 	0 	0 	: 	: 	: 
A,THS_T,GT12,AT	: c	3925 	4246 	4440 	4078 	4136 	4876 	5564 	5748 	4748 	4439 	4927 	4627 	4109 	4199 
A,THS_T,GT12,BE	1266 	901 	1146 	1034 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT12,BG	187 	93 	268 	277 	188 	176 	184 	183 	143 	140 	102 	112 	200 	233 	92 
A,THS_T,GT12,CH	1568 	1322 	1497 	1475 	1396 	1403 	3032 	1464 	1467 	1395 	1338 	1335 	1022 	1018 	962 
A,THS_T,GT12,CZ	1230 	1556 	1466 	1416 	1521 	1741 	2327 	2801 	2520 	2333 	3245 	2583 	2187 	2085 	1846 
A,THS_T,GT12,DE	9755 	7842 	9621 	10102 	12687 	12866 	12830 	14125 	10198 	9779 	12652 	14098 	9315 	10713 	9978 
A,THS_T,GT12,DK	135 	34 	85 	84 	79 	89 	98 	102 	130 	158 	201 	270 	272 	286 	274 
A,THS_T,GT12,EE	25 	8 	18 	13 	22 	16 	4 	3 	1 	2 	2 	0 	0 	0 	5 
A,THS_T,GT12,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 	0 
A,THS_T,GT12,ES	8803 	1306 	1291 	1785 	1625 	1719 	1761 	1935 	1874 	1796 	1516 	1409 	981 	949 	1127 
A,THS_T,GT12,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT12,FI	802 	671 	557 	331 	228 	249 	122 	60 	36 	45 	56 	43 	45 	58 	41 
A,THS_T,GT12,FR	2897 	2165 	1797 	1771 	2371 	5932 	5358 	6500 	6805 	3746 	6056 	5154 	2414 	1478 	1241 
A,THS_T,GT12,HR	135 	97 	85 	87 	43 	115 	75 	50 	47 	37 	30 	32 	23 	15 	13 
A,THS_T,GT12,HU	1826 	844 	860 	772 	678 	818 	734 	866 	1022 	1318 	1878 	1864 	2203 	2705 	2217 
A,THS_T,GT12,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT12,IT	: c	1740 	1483 	1375 	1360 	1172 	1160 	1289 	1504 	1669 	3008 	2326 	2220 	2774 	3335 
A,THS_T,GT12,LT	520 	320 	419 	478 	538 	525 	413 	219 	234 	359 	445 	465 	386 	419 	181 
A,THS_T,GT12,LU	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT12,LV	204 	157 	147 	183 	163 	185 	178 	105 	86 	97 	118 	190 	240 	138 	98 
A,THS_T,GT12,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	265 	28 	3 	41 	: 	: 
A,THS_T,GT12,MK	: 	16 	8 	9 	6 	3 	3 	6 	4 	6 	5 	4 	1 	6 	5 
A,THS_T,GT12,NL	646 	559 	: c	: c	628 	677 	500 	1023 	513 	1116 	868 	1006 	899 	700 	706 
A,THS_T,GT12,NO	0 	0 	0 	46 	182 	85 	79 	8 	53 	57 	67 	57 	62 	63 	62 
A,THS_T,GT12,PL	1303 	821 	790 	995 	978 	1000 	889 	722 	682 	903 	1226 	1431 	1384 	1394 	1238 
A,THS_T,GT12,PT	124 	94 	125 	135 	70 	23 	4 	2 	1 	18 	18 	25 	47 	50 	155 
A,THS_T,GT12,RO	314 	206 	175 	225 	232 	347 	288 	127 	358 	536 	576 	422 	278 	261 	301 
A,THS_T,GT12,SE	771 	589 	691 	794 	931 	818 	781 	927 	1029 	1218 	1157 	1197 	1200 	1126 	: c
A,THS_T,GT12,SI	439 	330 	262 	144 	136 	170 	244 	305 	372 	325 	290 	292 	327 	367 	400 
A,THS_T,GT12,SK	682 	432 	493 	668 	888 	944 	812 	892 	852 	799 	687 	911 	905 	888 	837 
A,THS_T,GT12,TR	0 	0 	18 	726 	415 	486 	380 	283 	293 	955 	971 	710 	346 	410 	395 
A,THS_T,GT12,UK	0 	0 	0 	386 	494 	426 	282 	585 	363 	361 	440 	386 	: 	: 	: 
A,THS_T,GT13,AT	: c	17 	21 	19 	15 	20 	17 	18 	17 	29 	26 	11 	8 	9 	10 
A,THS_T,GT13,BE	2 	4 	5 	4 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT13,BG	2 	1 	0 	0 	0 	0 	0 	4 	2 	2 	4 	2 	3 	8 	193 
A,THS_T,GT13,CH	19 	5 	5 	14 	13 	18 	21 	32 	26 	18 	23 	20 	15 	14 	17 
A,THS_T,GT13,CZ	4 	26 	18 	3 	0 	0 	0 	0 	1 	3 	7 	5 	1 	0 	0 
A,THS_T,GT13,DE	571 	578 	54 	38 	80 	253 	63 	77 	21 	16 	21 	17 	20 	16 	13 
A,THS_T,GT13,DK	8 	5 	7 	7 	7 	5 	4 	3 	2 	0 	0 	0 	0 	0 	3 
A,THS_T,GT13,EE	0 	0 	4 	14 	12 	17 	30 	18 	9 	18 	9 	4 	0 	1 	2 
A,THS_T,GT13,EL	61 	32 	33 	26 	15 	16 	19 	13 	16 	10 	9 	8 	4 	3 	3 
A,THS_T,GT13,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	19 
A,THS_T,GT13,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT13,FI	3 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 
A,THS_T,GT13,FR	61 	14 	0 	0 	198 	102 	121 	100 	471 	0 	0 	1 	5 	4 	9 
A,THS_T,GT13,HR	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	6 
A,THS_T,GT13,HU	4256 	18 	19 	13 	5 	57 	26 	45 	23 	82 	10 	14 	14 	12 	4 
A,THS_T,GT13,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT13,IT	: c	25 	: c	118 	106 	498 	: c	: c	100 	91 	101 	83 	75 	105 	90 
A,THS_T,GT13,LT	29 	11 	14 	20 	23 	23 	29 	18 	16 	21 	21 	24 	33 	71 	66 
A,THS_T,GT13,LU	: 	: 	: 	: 	2807 	2493 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT13,LV	4 	11 	12 	9 	21 	13 	17 	30 	14 	11 	14 	21 	38 	34 	19 
A,THS_T,GT13,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 
A,THS_T,GT13,MK	: 	0 	13 	11 	3 	6 	6 	2 	0 	1 	0 	0 	1 	1 	0 
A,THS_T,GT13,NL	1 	3 	: c	: c	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT13,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	61 	0 	0 	0 	0 	0 
A,THS_T,GT13,PL	220 	116 	73 	81 	115 	362 	350 	76 	78 	75 	185 	275 	918 	101 	91 
A,THS_T,GT13,PT	0 	0 	18 	9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT13,RO	3 	1 	0 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT13,SE	103 	97 	61 	79 	113 	61 	73 	77 	58 	29 	29 	0 	1 	3 	: c
A,THS_T,GT13,SI	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT13,SK	67 	41 	56 	10 	10 	10 	8 	5 	2 	7 	8 	7 	1 	1 	1 
A,THS_T,GT13,TR	0 	0 	5 	224 	286 	289 	280 	250 	256 	288 	342 	408 	378 	389 	466 
A,THS_T,GT13,UK	0 	346 	262 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,THS_T,GT14,AT	: c	4221 	5257 	5384 	4990 	6462 	6480 	6109 	6558 	7169 	6641 	6072 	6111 	5136 	4803 
A,THS_T,GT14,BE	981 	592 	753 	679 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT14,BG	231 	62 	72 	52 	69 	788 	798 	716 	616 	719 	744 	680 	643 	605 	504 
A,THS_T,GT14,CH	1731 	1279 	1783 	1775 	1634 	1567 	1585 	1524 	1433 	1369 	1431 	1436 	1453 	1705 	1607 
A,THS_T,GT14,CZ	4441 	3044 	3508 	3877 	3532 	3206 	3246 	2908 	3002 	3126 	3190 	3036 	3333 	3875 	3327 
A,THS_T,GT14,DE	16654 	13462 	15333 	16204 	15518 	15068 	14574 	13789 	13033 	13164 	12193 	11523 	9969 	11236 	11459 
A,THS_T,GT14,DK	159 	125 	297 	354 	353 	278 	242 	223 	181 	185 	171 	256 	288 	271 	257 
