freq,unit,nst07,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_T,GT02,HU	74 	5997 	6240 	5684 	5468 	6353 	6431 	7244 	7366 	6920 	7080 	6159 	5172 	4813 	4509 
A,THS_T,GT02,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT02,IT	: c	48 	: c	31 	18 	: c	: c	447 	321 	446 	531 	420 	485 	485 	966 
A,THS_T,GT02,LT	6064 	4644 	5713 	5036 	3140 	3622 	3075 	2759 	3201 	5471 	6881 	4902 	5213 	4187 	1676 
A,THS_T,GT02,LU	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT02,LV	18585 	18958 	14980 	20453 	22454 	21173 	20134 	19095 	15911 	17689 	22669 	17473 	4031 	2056 	4770 
A,THS_T,GT02,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 
A,THS_T,GT02,MK	: 	141 	198 	179 	295 	247 	175 	61 	38 	5 	35 	19 	33 	43 	12 
A,THS_T,GT02,NL	6975 	6457 	: c	: c	9979 	10708 	10196 	9047 	9532 	7237 	6052 	8297 	6998 	7451 	9583 
A,THS_T,GT02,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT02,PL	101425 	78997 	70643 	95609 	93293 	93513 	87731 	83567 	83576 	96281 	96932 	90551 	81103 	90162 	86416 
A,THS_T,GT02,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT02,RO	28131 	22608 	22707 	27818 	23185 	17693 	17547 	17827 	16183 	18533 	15359 	10479 	8858 	11137 	11934 
A,THS_T,GT02,SE	245 	60 	279 	250 	279 	185 	280 	196 	219 	272 	300 	231 	215 	252 	: c
A,THS_T,GT02,SI	1340 	858 	1132 	1550 	1434 	1435 	1316 	1422 	1581 	1804 	1882 	1685 	1261 	1195 	1442 
A,THS_T,GT02,SK	6578 	5958 	4586 	5417 	5015 	4680 	4448 	3572 	3898 	3933 	4048 	4496 	2981 	3622 	3140 
A,THS_T,GT02,TR	2861 	2491 	1818 	2680 	3036 	3389 	3006 	2603 	2302 	2408 	2478 	2865 	3305 	3818 	3443 
A,THS_T,GT02,UK	41688 	35921 	37359 	42312 	48393 	53454 	42151 	24953 	10829 	7858 	6797 	3509 	: 	: 	: 
A,THS_T,GT03,AT	: c	9207 	10969 	10668 	10409 	12005 	12297 	11957 	12650 	12057 	11660 	12369 	11310 	11452 	10280 
A,THS_T,GT03,BE	5441 	2395 	3046 	2747 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT03,BG	3292 	2088 	1578 	1631 	1435 	1220 	1322 	2826 	2574 	2939 	2876 	2512 	2713 	2401 	2627 
A,THS_T,GT03,CH	5316 	6252 	5652 	5406 	4914 	5015 	4853 	4765 	5099 	4646 	5199 	4582 	3904 	3660 	3382 
A,THS_T,GT03,CZ	13832 	10723 	10767 	11157 	10098 	10441 	11235 	11899 	11474 	9490 	9890 	9455 	9163 	9813 	8540 
A,THS_T,GT03,DE	52690 	45207 	50134 	57787 	52603 	51659 	51462 	50257 	48867 	46864 	48034 	48412 	46207 	52373 	52701 
A,THS_T,GT03,DK	44 	56 	70 	54 	35 	52 	48 	41 	42 	48 	36 	37 	49 	52 	49 
A,THS_T,GT03,EE	1844 	1166 	1011 	1531 	1753 	1723 	1235 	809 	648 	808 	978 	945 	305 	513 	2027 
A,THS_T,GT03,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 	0 
A,THS_T,GT03,ES	4275 	1038 	932 	655 	490 	2536 	2745 	883 	2185 	2812 	994 	569 	559 	938 	959 
A,THS_T,GT03,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT03,FI	4146 	4020 	4672 	5394 	4802 	5701 	6700 	5470 	6732 	7399 	7235 	5426 	5594 	5345 	2096 
A,THS_T,GT03,FR	20967 	15019 	10262 	12718 	9204 	11044 	11427 	10100 	8117 	9027 	6644 	6078 	6958 	8356 	6728 
A,THS_T,GT03,HR	2522 	2080 	1452 	1858 	2175 	2115 	1772 	2296 	1532 	1930 	2060 	3695 	3943 	3631 	4391 
A,THS_T,GT03,HU	4341 	4359 	5514 	5994 	6353 	7580 	7807 	8036 	7403 	10251 	10473 	8680 	7815 	7126 	8326 
A,THS_T,GT03,IE	451 	460 	376 	373 	364 	364 	339 	299 	334 	291 	297 	139 	272 	252 	209 
A,THS_T,GT03,IT	: c	2829 	3575 	3931 	3520 	2674 	3482 	3400 	3632 	3681 	3498 	3398 	3034 	3813 	3374 
A,THS_T,GT03,LT	4561 	3658 	4387 	5335 	4458 	5814 	5841 	4443 	4614 	5581 	6751 	7539 	7686 	7322 	4571 
A,THS_T,GT03,LU	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT03,LV	297 	1122 	1914 	2403 	1549 	1447 	1135 	1092 	1295 	993 	1269 	1116 	1168 	1355 	2229 
A,THS_T,GT03,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	903 	491 	684 	876 	: 	: 
A,THS_T,GT03,MK	: 	1325 	600 	492 	575 	527 	573 	46 	0 	7 	120 	126 	61 	170 	57 
A,THS_T,GT03,NL	7305 	4684 	: c	: c	5952 	5735 	5978 	6295 	5872 	6035 	5950 	6254 	4966 	5317 	4752 
A,THS_T,GT03,NO	16771 	15347 	18107 	20902 	22696 	22927 	24469 	23012 	25460 	25828 	25594 	25195 	27732 	28004 	24256 
A,THS_T,GT03,PL	38679 	34266 	41156 	66266 	53795 	51471 	53300 	51128 	48062 	60642 	66415 	60463 	53620 	55367 	57178 
A,THS_T,GT03,PT	2206 	2020 	2187 	1982 	1594 	1390 	1235 	1078 	815 	822 	971 	917 	808 	869 	1100 
A,THS_T,GT03,RO	5110 	2544 	2171 	2101 	1491 	3057 	2504 	2207 	911 	1048 	2199 	3391 	2568 	2920 	2522 
A,THS_T,GT03,SE	28504 	22362 	30620 	29469 	29450 	30770 	31290 	27829 	30083 	31961 	27871 	27605 	29617 	31135 	: c
A,THS_T,GT03,SI	3086 	2208 	2870 	2873 	2476 	2976 	3377 	3205 	3010 	3297 	3145 	3474 	2946 	3462 	3258 
A,THS_T,GT03,SK	15614 	12036 	14979 	14928 	14303 	15090 	15567 	15128 	15694 	15591 	14679 	12482 	11389 	14738 	12439 
A,THS_T,GT03,TR	4954 	4998 	6971 	9507 	10044 	9880 	11175 	9144 	8819 	10886 	9734 	13723 	14387 	15056 	15461 
A,THS_T,GT03,UK	7213 	3666 	0 	4570 	5908 	2726 	1110 	7343 	9273 	9967 	8908 	9612 	: 	: 	: 
A,THS_T,GT04,AT	: c	1186 	1245 	1252 	1235 	1249 	1025 	1103 	1051 	1265 	1347 	1325 	1352 	1392 	1476 
A,THS_T,GT04,BE	881 	491 	625 	564 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT04,BG	236 	199 	218 	199 	235 	122 	172 	297 	330 	264 	208 	264 	314 	337 	196 
A,THS_T,GT04,CH	2139 	2257 	2046 	2086 	2030 	2059 	2153 	2076 	2137 	2149 	3205 	2922 	3541 	3325 	3263 
A,THS_T,GT04,CZ	751 	652 	782 	601 	582 	399 	441 	402 	467 	543 	574 	628 	623 	523 	528 
A,THS_T,GT04,DE	2019 	2099 	2139 	2193 	2438 	2078 	2112 	1995 	2477 	2287 	2177 	2405 	2203 	2038 	1946 
A,THS_T,GT04,DK	59 	45 	96 	46 	28 	49 	53 	43 	64 	194 	185 	196 	185 	148 	67 
A,THS_T,GT04,EE	342 	281 	240 	222 	201 	228 	210 	124 	326 	336 	243 	196 	324 	335 	379 
A,THS_T,GT04,EL	158 	89 	172 	122 	118 	249 	88 	57 	39 	27 	11 	2 	0 	: 	0 
A,THS_T,GT04,ES	28 	222 	211 	215 	197 	133 	137 	163 	226 	370 	361 	233 	162 	54 	80 
A,THS_T,GT04,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT04,FI	72 	59 	50 	34 	30 	22 	20 	28 	30 	27 	39 	35 	16 	20 	4 
A,THS_T,GT04,FR	6289 	4681 	3730 	5034 	5000 	4747 	4635 	4600 	3836 	5434 	5092 	4733 	4717 	4480 	5350 
A,THS_T,GT04,HR	521 	415 	503 	606 	649 	569 	559 	442 	508 	630 	512 	445 	376 	268 	312 
A,THS_T,GT04,HU	782 	474 	514 	556 	464 	540 	522 	465 	459 	400 	486 	632 	395 	501 	776 
A,THS_T,GT04,IE	67 	86 	137 	169 	164 	176 	180 	178 	189 	203 	174 	158 	140 	114 	161 
