freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT02,THS_T,EE	113 	594 	715 	62 	1540 	260 	82 	16 	551 	313 	444 	314 	417 	174 	146 
A,TOTAL,GT02,THS_T,EL	22160 	25206 	56833 	83760 	63200 	82829 	22263 	57516 	14203 	26794 	40451 	25954 	12756 	4578 	24405 
A,TOTAL,GT02,THS_T,ES	24057 	18113 	14067 	21721 	15046 	12001 	11886 	13967 	9977 	12493 	7248 	4096 	3234 	3536 	1818 
A,TOTAL,GT02,THS_T,EU27_2020	133967 	126138 	148324 	168510 	156946 	169741 	95596 	140736 	102604 	113708 	124320 	108081 	77359 	84573 	90950 
A,TOTAL,GT02,THS_T,FI	923 	1853 	539 	561 	1240 	633 	72 	2093 	6479 	69 	1718 	1535 	1458 	2590 	1799 
A,TOTAL,GT02,THS_T,FR	5859 	12857 	8400 	7974 	10721 	9430 	8971 	8034 	6645 	5813 	6275 	5633 	5833 	5979 	6455 
A,TOTAL,GT02,THS_T,HR	1100 	326 	232 	296 	227 	413 	417 	275 	295 	920 	567 	574 	470 	613 	654 
A,TOTAL,GT02,THS_T,HU	1847 	792 	1142 	1338 	1626 	1203 	1006 	4550 	1579 	873 	1810 	1553 	2625 	1901 	1955 
A,TOTAL,GT02,THS_T,IE	3465 	1999 	1141 	775 	813 	758 	549 	756 	900 	995 	758 	925 	767 	846 	602 
A,TOTAL,GT02,THS_T,IT	14799 	14003 	15630 	9877 	12348 	12008 	11089 	8146 	11483 	9194 	9684 	13667 	13889 	14892 	13297 
A,TOTAL,GT02,THS_T,LT	317 	388 	261 	233 	314 	238 	174 	292 	327 	530 	504 	250 	266 	236 	1025 
A,TOTAL,GT02,THS_T,LU	747 	1761 	1645 	1284 	506 	408 	326 	233 	124 	219 	195 	306 	345 	296 	351 
A,TOTAL,GT02,THS_T,LV	14 	70 	73 	98 	46 	34 	139 	3 	7 	3 	41 	41 	6 	: 	176 
A,TOTAL,GT02,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	242 	91 	58 	116 	118 	46 	: 
A,TOTAL,GT02,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 
A,TOTAL,GT02,THS_T,NL	238 	253 	319 	187 	199 	311 	149 	293 	661 	72 	308 	416 	518 	198 	506 
A,TOTAL,GT02,THS_T,NO	267 	26 	3 	: 	119 	127 	108 	273 	71 	170 	316 	192 	60 	16 	155 
A,TOTAL,GT02,THS_T,PL	20959 	18005 	28545 	24235 	32286 	29395 	21394 	27192 	33243 	35175 	34533 	34277 	23515 	34783 	21964 
A,TOTAL,GT02,THS_T,PT	381 	54 	22 	117 	18 	95 	85 	91 	187 	188 	195 	162 	76 	68 	129 
A,TOTAL,GT02,THS_T,RO	3136 	3638 	2061 	1766 	920 	334 	1066 	448 	449 	514 	528 	1114 	476 	688 	1728 
A,TOTAL,GT02,THS_T,SE	133 	62 	411 	134 	42 	157 	231 	1753 	491 	1014 	1202 	2022 	1335 	172 	808 
A,TOTAL,GT02,THS_T,SI	215 	251 	62 	62 	80 	55 	93 	75 	19 	93 	47 	30 	31 	64 	165 
A,TOTAL,GT02,THS_T,SK	776 	367 	187 	206 	274 	202 	176 	212 	180 	355 	637 	284 	114 	100 	104 
A,TOTAL,GT02,THS_T,UK	23183 	14767 	12615 	9665 	9874 	6983 	12809 	9019 	3818 	7028 	4203 	3057 	: 	: 	: 
A,TOTAL,GT03,THS_T,AT	159235 	143349 	130814 	132978 	133884 	130774 	144163 	143591 	149130 	157051 	160026 	165516 	133131 	146091 	137969 
A,TOTAL,GT03,THS_T,BE	79647 	71751 	73108 	73804 	72079 	77973 	70502 	50593 	47349 	49442 	49506 	47902 	44934 	47375 	40874 
A,TOTAL,GT03,THS_T,BG	62498 	51113 	45196 	44874 	53478 	51887 	56294 	60422 	42638 	37004 	46356 	36235 	41723 	55668 	58349 
A,TOTAL,GT03,THS_T,CH	106706 	104640 	98035 	111220 	103005 	102693 	109178 	93466 	93374 	98315 	97641 	104200 	115068 	93036 	110994 
A,TOTAL,GT03,THS_T,CY	14250 	9549 	10921 	7566 	5407 	3150 	3123 	2411 	3857 	5657 	8653 	7503 	7565 	8105 	14610 
A,TOTAL,GT03,THS_T,CZ	150285 	133016 	113730 	111936 	113272 	106708 	127170 	154445 	153005 	159525 	175496 	192201 	158100 	179196 	153748 
A,TOTAL,GT03,THS_T,DE	689371 	631944 	844375 	953460 	901181 	915282 	933548 	887796 	937863 	935108 	933857 	922549 	903873 	909276 	886751 
A,TOTAL,GT03,THS_T,DK	43932 	32003 	41286 	46185 	40556 	41197 	45926 	51338 	47467 	51504 	44343 	42766 	45864 	43292 	40263 
A,TOTAL,GT03,THS_T,EE	14984 	11869 	8735 	11103 	11746 	9614 	6848 	9075 	10264 	8256 	8282 	7317 	6822 	7724 	7740 
A,TOTAL,GT03,THS_T,EL	323811 	345726 	246569 	209861 	88796 	118879 	131442 	121715 	168243 	157525 	113988 	123650 	99780 	72027 	76522 
A,TOTAL,GT03,THS_T,ES	804730 	609348 	521230 	443337 	294359 	229425 	245041 	262031 	250243 	294649 	326228 	322178 	295010 	341579 	320277 
A,TOTAL,GT03,THS_T,EU27_2020	4955104 	4170255 	4040134 	4043799 	3388774 	3277383 	3414353 	3306735 	3291255 	3441122 	3413908 	3473725 	3253128 	3388533 	3338273 
A,TOTAL,GT03,THS_T,FI	197664 	147775 	180257 	135066 	116946 	112344 	118441 	104107 	96894 	104753 	99051 	95903 	92209 	88066 	67114 
A,TOTAL,GT03,THS_T,FR	721764 	466824 	464606 	488658 	452852 	456139 	465762 	415706 	409935 	404008 	368709 	396840 	336590 	370055 	365735 
A,TOTAL,GT03,THS_T,HR	52362 	44173 	30168 	33010 	24909 	26970 	24567 	23281 	25654 	23769 	24597 	28749 	30086 	30961 	29201 
A,TOTAL,GT03,THS_T,HU	77986 	64816 	47206 	41729 	35359 	35313 	46773 	48034 	14502 	12786 	17644 	14043 	13996 	17628 	14023 
A,TOTAL,GT03,THS_T,IE	27501 	44039 	30214 	24265 	21905 	23359 	25725 	26336 	34323 	38117 	41473 	41383 	36142 	43467 	46996 
A,TOTAL,GT03,THS_T,IT	407404 	392501 	382991 	335571 	248335 	185093 	177153 	191820 	153626 	144019 	156183 	152848 	144837 	147458 	168650 
A,TOTAL,GT03,THS_T,LT	20147 	10349 	10061 	10401 	10095 	10470 	11453 	10124 	10029 	13241 	14676 	13459 	14834 	12695 	9501 
A,TOTAL,GT03,THS_T,LU	25040 	22529 	25343 	23914 	25419 	19358 	21944 	17580 	22409 	19505 	19068 	22534 	16218 	18268 	18559 
A,TOTAL,GT03,THS_T,LV	23724 	11146 	15669 	19722 	19454 	22741 	22715 	20173 	14964 	19828 	22335 	22322 	22283 	23425 	27372 
A,TOTAL,GT03,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	204 	320 	228 	206 	286 	446 	: 
A,TOTAL,GT03,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2816 	: 	: 
A,TOTAL,GT03,THS_T,NL	108030 	111394 	89415 	93053 	93022 	84759 	91680 	90379 	93043 	92264 	97373 	93583 	100138 	99622 	92578 
A,TOTAL,GT03,THS_T,NO	139668 	130408 	125615 	120625 	127072 	127085 	148875 	136927 	133662 	129773 	123415 	110597 	102809 	118286 	106740 
A,TOTAL,GT03,THS_T,PL	441034 	401982 	417041 	492121 	374855 	380370 	359196 	326397 	324897 	384322 	344062 	390709 	354922 	363224 	378015 
A,TOTAL,GT03,THS_T,PT	118918 	100950 	73547 	71380 	37552 	28560 	30511 	32020 	28982 	36527 	38334 	36589 	30643 	37149 	34029 
A,TOTAL,GT03,THS_T,RO	159276 	106584 	63081 	70767 	71351 	69362 	61400 	66897 	62079 	62220 	63342 	72509 	85202 	95366 	108360 
A,TOTAL,GT03,THS_T,SE	98280 	106320 	89224 	98685 	83819 	78377 	125842 	127518 	124801 	146069 	158971 	144804 	162371 	161569 	161775 
A,TOTAL,GT03,THS_T,SI	41510 	31159 	31260 	25826 	18895 	19394 	24763 	19341 	22400 	24841 	24892 	27690 	25427 	31771 	33930 
A,TOTAL,GT03,THS_T,SK	91720 	68047 	54086 	44528 	39248 	39884 	42372 	43605 	42653 	59134 	56465 	51943 	50428 	37476 	45332 
A,TOTAL,GT03,THS_T,UK	358990 	254905 	275941 	216697 	215401 	201863 	204828 	234031 	195961 	199974 	184969 	161294 	: 	: 	: 
A,TOTAL,GT04,THS_T,AT	23807 	23399 	23544 	24994 	24090 	24710 	26673 	25810 	28897 	27780 	28580 	29044 	24974 	27919 	29621 
A,TOTAL,GT04,THS_T,BE	42552 	44719 	44775 	43880 	46583 	48384 	47468 	48495 	51473 	55330 	47809 	47313 	54260 	47638 	32421 
A,TOTAL,GT04,THS_T,BG	9207 	8498 	8487 	8830 	10606 	9647 	11420 	10892 	14418 	13098 	12082 	8287 	8733 	10985 	11418 
A,TOTAL,GT04,THS_T,CH	28643 	31422 	31210 	33053 	32629 	28925 	29085 	36918 	32029 	31034 	33569 	33614 	32715 	28662 	37007 
A,TOTAL,GT04,THS_T,CY	4707 	4433 	4143 	3998 	4332 	3138 	3207 	3140 	3373 	3255 	4266 	4156 	3100 	3288 	3390 
A,TOTAL,GT04,THS_T,CZ	29193 	27215 	29038 	33170 	28023 	31528 	36198 	35859 	35219 	34681 	36275 	36343 	41980 	41630 	40359 
A,TOTAL,GT04,THS_T,DE	334416 	335256 	301040 	305206 	304955 	310863 	311528 	323022 	332336 	324611 	328056 	338119 	330515 	323598 	316002 
A,TOTAL,GT04,THS_T,DK	27833 	23758 	25983 	23718 	26069 	27178 	27481 	24216 	29021 	26827 	25651 	24082 	23938 	22270 	23976 
